Unnamed: 0,Administration,NAME,Type,titre,titre_encoded,IREL_url,Coordonnees,latitude,longitude,Administration_bis,Lieu-dit_bis
4579,Seine-Maritime ; France,Elbeuf-sur-Andelle ,,Elbeuf-sur-Andelle (Seine-Maritime ; France),Elbeuf-sur-Andelle%20%28Seine-Maritime%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Elbeuf-sur-Andelle%20%28Seine-Maritime%20%3B%20France%29,49.4708 1.3967,49.4708,1.3967,,
4580,Seine-Maritime ; France,Elbeuf ,,Elbeuf (Seine-Maritime ; France),Elbeuf%20%28Seine-Maritime%20%3B%20France%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Elbeuf%20%28Seine-Maritime%20%3B%20France%29,49.2893 1.0076,49.2893,1.0076,,
4581,Italie,Elbe,Île d’ ,ElbeÎle d’ (Italie),Elbe%C3%8Ele%20d%E2%80%99%20%28Italie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Elbe%C3%8Ele%20d%E2%80%99%20%28Italie%29,,,,,
4582,Allemagne,Eldenbourg ,,Eldenbourg (Allemagne),Eldenbourg%20%28Allemagne%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Eldenbourg%20%28Allemagne%29,53.1143 11.4388,53.1143,11.4388,,
4583,Allemagne,Eldenburg ,,Eldenburg (Allemagne),Eldenburg%20%28Allemagne%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Eldenburg%20%28Allemagne%29,53.1143 11.4388,53.1143,11.4388,,
4584,Sénégal,Élenkine ,,Élenkine (Sénégal),%C3%89lenkine%20%28S%C3%A9n%C3%A9gal%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=%C3%89lenkine%20%28S%C3%A9n%C3%A9gal%29,12.5094 -16.6622,12.5094,-16.6622,,
4585,Sénégal,Élinkine ,,Élinkine (Sénégal),%C3%89linkine%20%28S%C3%A9n%C3%A9gal%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=%C3%89linkine%20%28S%C3%A9n%C3%A9gal%29,12.5094 -16.6622,12.5094,-16.6622,,
4586,République démocratique du Congo,Elizabethville ,,Elizabethville (République démocratique du Congo),Elizabethville%20%28R%C3%A9publique%20d%C3%A9mocratique%20du%20Congo%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Elizabethville%20%28R%C3%A9publique%20d%C3%A9mocratique%20du%20Congo%29,-11.6715 27.4792,-11.6715,27.4792,,
4587,,Ellada',,Ellada,Ellada,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ellada,39.2833 20.7970,39.2833,20.7970,,
4588,Inde,Ellapoullesavady ,,Ellapoullesavady (Inde),Ellapoullesavady%20%28Inde%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ellapoullesavady%20%28Inde%29,11.9381 79.7922,11.9381,79.7922,,
4589,Inde,Ellepoulléchavady ,,Ellepoulléchavady (Inde),Ellepoull%C3%A9chavady%20%28Inde%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ellepoull%C3%A9chavady%20%28Inde%29,11.9381 79.7922,11.9381,79.7922,,
4590,Algérie,Elli Zeggar ,,Elli Zeggar (Algérie),Elli%20Zeggar%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Elli%20Zeggar%20%28Alg%C3%A9rie%29,36.7484 6.4324,36.7484,6.4324,,
4591,Algérie,Elma Besri ,,Elma Besri (Algérie),Elma%20Besri%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Elma%20Besri%20%28Alg%C3%A9rie%29,,,,,
4592,Ghana,Elmina ,,Elmina (Ghana),Elmina%20%28Ghana%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Elmina%20%28Ghana%29,5.0898 -1.3480,5.0898,-1.3480,,
4593,Guinée équatoriale,Elobey Grande,Île ,Elobey GrandeÎle (Guinée équatoriale),Elobey%20Grande%C3%8Ele%20%28Guin%C3%A9e%20%C3%A9quatoriale%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Elobey%20Grande%C3%8Ele%20%28Guin%C3%A9e%20%C3%A9quatoriale%29,,,,,
4594,Guinée équatoriale,Elobey,Îles ,ElobeyÎles (Guinée équatoriale),Elobey%C3%8Eles%20%28Guin%C3%A9e%20%C3%A9quatoriale%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Elobey%C3%8Eles%20%28Guin%C3%A9e%20%C3%A9quatoriale%29,,,,,
4595,Gabon,Elobey,Pointe ,ElobeyPointe (Gabon),ElobeyPointe%20%28Gabon%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=ElobeyPointe%20%28Gabon%29,,,,,
4596,Algérie,El Abadia ,,El Abadia (Algérie),El%20Abadia%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Abadia%20%28Alg%C3%A9rie%29,36.2695 1.6861,36.2695,1.6861,,
4597,Mauritanie,El Abiar,Lieu-dit ,El AbiarLieu-dit (Mauritanie),El%20AbiarLieu-dit%20%28Mauritanie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20AbiarLieu-dit%20%28Mauritanie%29,,,,,
4598,Algérie,El Abiod,Cours d\'eau ,El AbiodCours d\eau (Algérie),El%20AbiodCours%20d%5Ceau%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20AbiodCours%20d%5Ceau%20%28Alg%C3%A9rie%29,,,,,
4599,Algérie,El Achir ,,El Achir (Algérie),El%20Achir%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Achir%20%28Alg%C3%A9rie%29,36.0639 4.6274,36.0639,4.6274,,
4600,Algérie,El Achour ,,El Achour (Algérie),El%20Achour%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Achour%20%28Alg%C3%A9rie%29,36.7317 2.9904,36.7317,2.9904,,
4601,Algérie,El Addarat,Cours d\'eau ,El AddaratCours d\eau (Algérie),El%20AddaratCours%20d%5Ceau%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20AddaratCours%20d%5Ceau%20%28Alg%C3%A9rie%29,,,,,
4602,Algérie,El Adjiba ,,El Adjiba (Algérie),El%20Adjiba%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Adjiba%20%28Alg%C3%A9rie%29,36.3761 4.1612,36.3761,4.1612,,
4603,Algérie,El Affroun ,,El Affroun (Algérie),El%20Affroun%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Affroun%20%28Alg%C3%A9rie%29,36.4701 2.6253,36.4701,2.6253,,
4604,Algérie,El Agar ,,El Agar (Algérie),El%20Agar%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Agar%20%28Alg%C3%A9rie%29,,,,,
4605,Algérie,El Agouf ,,El Agouf (Algérie),El%20Agouf%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Agouf%20%28Alg%C3%A9rie%29,36.6848 6.3588,36.6848,6.3588,,
4606,Algérie,El Aïoun ,,El Aïoun (Algérie),El%20A%C3%AFoun%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20A%C3%AFoun%20%28Alg%C3%A9rie%29,36.8265 8.5991,36.8265,8.5991,,
4607,Algérie,El Amar,Cours d\'eau ,El AmarCours d\eau (Algérie),El%20AmarCours%20d%5Ceau%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20AmarCours%20d%5Ceau%20%28Alg%C3%A9rie%29,,,,,
4608,Algérie,El Amra ,,El Amra (Algérie),El%20Amra%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Amra%20%28Alg%C3%A9rie%29,36.3069 1.8482,36.3069,1.8482,,
4609,Algérie,El Amria ,,El Amria (Algérie),El%20Amria%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Amria%20%28Alg%C3%A9rie%29,35.5244 -1.0158,35.5244,-1.0158,,
4610,Algérie,El Amri ,,El Amri (Algérie),El%20Amri%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Amri%20%28Alg%C3%A9rie%29,34.6783 5.2874,34.6783,5.2874,,
4611,Algérie,El Anasser ,,El Anasser (Algérie),El%20Anasser%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Anasser%20%28Alg%C3%A9rie%29,,,,,
4612,Algérie,El Anser ,,El Anser (Algérie),El%20Anser%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Anser%20%28Alg%C3%A9rie%29,36.7989 6.1572,36.7989,6.1572,,
4613,Algérie,El Aouana ,,El Aouana (Algérie),El%20Aouana%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Aouana%20%28Alg%C3%A9rie%29,36.7751 5.5999,36.7751,5.5999,,
4614,Algérie,El Aouinet ,,El Aouinet (Algérie),El%20Aouinet%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Aouinet%20%28Alg%C3%A9rie%29,35.8669 7.8867,35.8669,7.8867,,
4615,Algérie,El Aria ,,El Aria (Algérie),El%20Aria%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Aria%20%28Alg%C3%A9rie%29,36.3180 6.8315,36.3180,6.8315,,
4616,Algérie,El Aricha ,,El Aricha (Algérie),El%20Aricha%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Aricha%20%28Alg%C3%A9rie%29,34.2226 -1.2570,34.2226,-1.2570,,
4617,Algérie,El Aricha,Annexe ,El ArichaAnnexe (Algérie),El%20ArichaAnnexe%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20ArichaAnnexe%20%28Alg%C3%A9rie%29,,,,,
4618,Algérie,El Arrouch ,,El Arrouch (Algérie),El%20Arrouch%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Arrouch%20%28Alg%C3%A9rie%29,36.6531 6.8364,36.6531,6.8364,,
4619,Algérie,El Attaf ,,El Attaf (Algérie),El%20Attaf%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Attaf%20%28Alg%C3%A9rie%29,36.2239 1.6719,36.2239,1.6719,,
4620,Algérie,El Azizia ,,El Azizia (Algérie),El%20Azizia%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Azizia%20%28Alg%C3%A9rie%29,36.2866 3.4941,36.2866,3.4941,,
4621,Algérie,El Bayadh ,,El Bayadh (Algérie),El%20Bayadh%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Bayadh%20%28Alg%C3%A9rie%29,33.6832 1.0193,33.6832,1.0193,,
4622,Algérie,El Beridj ,,El Beridj (Algérie),El%20Beridj%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Beridj%20%28Alg%C3%A9rie%29,36.9169 8.3432,36.9169,8.3432,,
4623,Algérie,El Biar ,,El Biar (Algérie),El%20Biar%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Biar%20%28Alg%C3%A9rie%29,36.7677 3.0258,36.7677,3.0258,,
4624,Algérie,El Bidi ,,El Bidi (Algérie),El%20Bidi%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Bidi%20%28Alg%C3%A9rie%29,,,,,
4625,Algérie,El Bordj ,,El Bordj (Algérie),El%20Bordj%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Bordj%20%28Alg%C3%A9rie%29,35.5151 0.3006,35.5151,0.3006,,
4626,Mauritanie,El Bouirât ,,El Bouirât (Mauritanie),El%20Bouir%C3%A2t%20%28Mauritanie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Bouir%C3%A2t%20%28Mauritanie%29,20.5964 -13.6572,20.5964,-13.6572,,
4627,Algérie,El Brana ,,El Brana (Algérie),El%20Brana%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Brana%20%28Alg%C3%A9rie%29,36.0842 6.0621,36.0842,6.0621,,
4628,Algérie,El Braya ,,El Braya (Algérie),El%20Braya%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Braya%20%28Alg%C3%A9rie%29,35.6294 -0.5186,35.6294,-0.5186,,
4629,Algérie,El Bridj ,,El Bridj (Algérie),El%20Bridj%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Bridj%20%28Alg%C3%A9rie%29,35.1814 -1.1534,35.1814,-1.1534,,
4630,Algérie,El Dis ,,El Dis (Algérie),El%20Dis%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Dis%20%28Alg%C3%A9rie%29,36.7842 6.8685,36.7842,6.8685,,
4631,Algérie,El Djedian ,,El Djedian (Algérie),El%20Djedian%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Djedian%20%28Alg%C3%A9rie%29,,,,,
4632,Tunisie,El Djem ,,El Djem (Tunisie),El%20Djem%20%28Tunisie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Djem%20%28Tunisie%29,35.2945 10.7057,35.2945,10.7057,,
4633,Algérie,El Djenah ,,El Djenah (Algérie),El%20Djenah%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Djenah%20%28Alg%C3%A9rie%29,36.8440 6.0582,36.8440,6.0582,,
4634,Algérie,El Esnam ,,El Esnam (Algérie),El%20Esnam%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Esnam%20%28Alg%C3%A9rie%29,36.1653 1.3345,36.1653,1.3345,,
4635,Algérie,El Euch ,,El Euch (Algérie),El%20Euch%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Euch%20%28Alg%C3%A9rie%29,36.2734 3.0940,36.2734,3.0940,,
4636,Algérie,El Eulma ,,El Eulma (Algérie),El%20Eulma%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Eulma%20%28Alg%C3%A9rie%29,36.1528 5.6902,36.1528,5.6902,,
4637,Soudan,El Fascher ,,El Fascher (Soudan),El%20Fascher%20%28Soudan%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Fascher%20%28Soudan%29,13.6164 25.3564,13.6164,25.3564,,
4638,Algérie,El Fedjoudj ,,El Fedjoudj (Algérie),El%20Fedjoudj%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Fedjoudj%20%28Alg%C3%A9rie%29,,,,,
4639,Algérie,El Fehoul ,,El Fehoul (Algérie),El%20Fehoul%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Fehoul%20%28Alg%C3%A9rie%29,35.1163 -1.2925,35.1163,-1.2925,,
4640,Mauritanie,El Fetha,Lieu-dit ,El FethaLieu-dit (Mauritanie),El%20FethaLieu-dit%20%28Mauritanie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20FethaLieu-dit%20%28Mauritanie%29,,,,,
4641,Algérie,El Flaye ,,El Flaye (Algérie),El%20Flaye%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Flaye%20%28Alg%C3%A9rie%29,36.6092 4.6714,36.6092,4.6714,,
4642,Algérie,El Garah ,,El Garah (Algérie),El%20Garah%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Garah%20%28Alg%C3%A9rie%29,36.1411 6.6122,36.1411,6.6122,,
4643,Maroc,El Gara ,,El Gara (Maroc),El%20Gara%20%28Maroc%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Gara%20%28Maroc%29,33.2776 -7.2328,33.2776,-7.2328,,
4644,Algérie,El Ghedir ,,El Ghedir (Algérie),El%20Ghedir%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Ghedir%20%28Alg%C3%A9rie%29,36.5815 7.7500,36.5815,7.7500,,
4645,Algérie,El Ghomeri ,,El Ghomeri (Algérie),El%20Ghomeri%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Ghomeri%20%28Alg%C3%A9rie%29,35.6869 0.2072,35.6869,0.2072,,
4646,Algérie,El Ghrar ,,El Ghrar (Algérie),El%20Ghrar%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Ghrar%20%28Alg%C3%A9rie%29,36.5715 7.1852,36.5715,7.1852,,
4647,Algérie,El Goléa ,,El Goléa (Algérie),El%20Gol%C3%A9a%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Gol%C3%A9a%20%28Alg%C3%A9rie%29,30.5667 2.8833,30.5667,2.8833,,
4648,Algérie,El Gouachi ,,El Gouachi (Algérie),El%20Gouachi%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Gouachi%20%28Alg%C3%A9rie%29,35.9953 6.5788,35.9953,6.5788,,
4649,Algérie,El Gourine ,,El Gourine (Algérie),El%20Gourine%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Gourine%20%28Alg%C3%A9rie%29,36.4947 2.2405,36.4947,2.2405,,
4650,Algérie,El Guebel ,,El Guebel (Algérie),El%20Guebel%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Guebel%20%28Alg%C3%A9rie%29,36.3687 7.5264,36.3687,7.5264,,
4651,Algérie,El Guelaâ ,,El Guelaâ (Algérie),El%20Guela%C3%A2%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Guela%C3%A2%20%28Alg%C3%A9rie%29,36.2661 7.3967,36.2661,7.3967,,
4652,Algérie,El Guerrah ,,El Guerrah (Algérie),El%20Guerrah%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Guerrah%20%28Alg%C3%A9rie%29,36.1411 6.6122,36.1411,6.6122,,
4653,Algérie,El Guious ,,El Guious (Algérie),El%20Guious%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Guious%20%28Alg%C3%A9rie%29,36.6360 3.5903,36.6360,3.5903,,
4654,Algérie,El Guitoun ,,El Guitoun (Algérie),El%20Guitoun%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Guitoun%20%28Alg%C3%A9rie%29,,,,,
4655,Algérie,El Hachem ,,El Hachem (Algérie),El%20Hachem%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Hachem%20%28Alg%C3%A9rie%29,36.6118 2.2312,36.6118,2.2312,,
4656,Algérie,El Hachia,Djebel ,El HachiaDjebel (Algérie),El%20HachiaDjebel%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20HachiaDjebel%20%28Alg%C3%A9rie%29,,,,,
4657,Algérie,El Hachimia ,,El Hachimia (Algérie),El%20Hachimia%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Hachimia%20%28Alg%C3%A9rie%29,36.2219 3.8172,36.2219,3.8172,,
4658,Algérie,El Hadjar ,,El Hadjar (Algérie),El%20Hadjar%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Hadjar%20%28Alg%C3%A9rie%29,36.8038 7.7368,36.8038,7.7368,,
4659,Algérie,El Hajeb ,,El Hajeb (Algérie),El%20Hajeb%C2%A0%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Hajeb%C2%A0%28Alg%C3%A9rie%29,33.6958 -5.3667,33.6958,-5.3667,,
4660,Algérie,El Halia,Mine ,El HaliaMine (Algérie),El%20HaliaMine%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20HaliaMine%20%28Alg%C3%A9rie%29,,,,,
4661,Algérie,El Hamel ,,El Hamel (Algérie),El%20Hamel%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Hamel%20%28Alg%C3%A9rie%29,35.1283 4.0798,35.1283,4.0798,,
4662,Algérie,El Hamiet ,,El Hamiet (Algérie),El%20Hamiet%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Hamiet%20%28Alg%C3%A9rie%29,,,,,
4663,Algérie,El Hamimine,Cours d\'eau ,El HamimineCours d\eau (Algérie),El%20HamimineCours%20d%5Ceau%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20HamimineCours%20d%5Ceau%20%28Alg%C3%A9rie%29,,,,,
4664,Algérie,El Hammadia ,,El Hammadia (Algérie),El%20Hammadia%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Hammadia%20%28Alg%C3%A9rie%29,35.9792 4.7474,35.9792,4.7474,,
4665,Algérie,El Hammam ,,El Hammam (Algérie),El%20Hammam%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Hammam%20%28Alg%C3%A9rie%29,36.3946 2.3620,36.3946,2.3620,,
4666,Algérie,El Hammam,Cours d\'eau ,El HammamCours d\eau (Algérie),El%20HammamCours%20d%5Ceau%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20HammamCours%20d%5Ceau%20%28Alg%C3%A9rie%29,,,,,
4667,Algérie,El Harbil ,,El Harbil (Algérie),El%20Harbil%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Harbil%20%28Alg%C3%A9rie%29,36.2270 2.6321,36.2270,2.6321,,
4668,Algérie,El Haria ,,El Haria (Algérie),El%20Haria%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Haria%20%28Alg%C3%A9rie%29,36.3180 6.8315,36.3180,6.8315,,
4669,Algérie,El Harmelia ,,El Harmelia (Algérie),El%20Harmelia%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Harmelia%20%28Alg%C3%A9rie%29,,,,,
4670,Algérie,El Harrach ,,El Harrach (Algérie),El%20Harrach%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Harrach%20%28Alg%C3%A9rie%29,,,,,
4671,Algérie,El Harrar du Chelif ,,El Harrar du Chelif (Algérie),El%20Harrar%20du%20Chelif%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Harrar%20du%20Chelif%20%28Alg%C3%A9rie%29,36.2704 1.8303,36.2704,1.8303,,
4672,Algérie,El Hassaïba ,,El Hassaïba (Algérie),El%20Hassa%C3%AFba%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Hassa%C3%AFba%20%28Alg%C3%A9rie%29,34.7008 -0.7605,34.7008,-0.7605,,
4673,Algérie,El Hedaïek ,,El Hedaïek (Algérie),El%20Heda%C3%AFek%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Heda%C3%AFek%20%28Alg%C3%A9rie%29,36.8310 6.8829,36.8310,6.8829,,
4674,Algérie,El Hezebri ,,El Hezebri (Algérie),El%20Hezebri%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Hezebri%20%28Alg%C3%A9rie%29,36.0180 6.8416,36.0180,6.8416,,
4675,Algérie,El Idrissia ,,El Idrissia (Algérie),El%20Idrissia%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Idrissia%20%28Alg%C3%A9rie%29,34.4536 2.5326,34.4536,2.5326,,
4676,Maroc,El Jadida ,,El Jadida (Maroc),El%20Jadida%20%28Maroc%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Jadida%20%28Maroc%29,33.2549 -8.5060,33.2549,-8.5060,,
4677,Tunisie,El Jem ,,El Jem (Tunisie),El%20Jem%20%28Tunisie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Jem%20%28Tunisie%29,35.2945 10.7057,35.2945,10.7057,,
4678,Algérie,El Kalaa ,,El Kalaa (Algérie),El%20Kalaa%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Kalaa%20%28Alg%C3%A9rie%29,,,,,
4679,Algérie,El Kala ,,El Kala (Algérie),El%20Kala%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Kala%20%28Alg%C3%A9rie%29,36.8956 8.4433,36.8956,8.4433,,
4680,Algérie,El Kantara ,,El Kantara (Algérie),El%20Kantara%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=El%20Kantara%20%28Alg%C3%A9rie%29,35.2202 5.7058,35.2202,5.7058,,
