,Administration,Lieu-dit,Type,Inutile
4001,,Dardanelles,Détroit des,
4002,Algérie,Dardara,Cours d\eau ,
4003,Soudan,Darfour,Région géographique ,
4004,Algérie,Darguinah ,,
4005,,Darien,Golfe de,
4006,Panama,Darien,Isthme de ,
4007,Vietnam,Darlac,Province ,
4008,Allemagne,Darmstadt ,,
4009,Seine-Maritime ; France,Darnétal ,,
4010,Vosges ; France,Darney ,,
4011,Sénégal,Darou Mousty ,,
4012,Burkina Faso,Darsalami ,,
4013,Sénégal,Darsalam ,,
4014,Algérie,Darsoun ,,
4015,Algérie,Dar Beïda ,,
4016,Algérie,Dar Ben Abdallah ,,
4017,Algérie,Dar Chioukh ,,
4018,Algérie,Dar El Beïda ,,
4019,Algérie,Dar El Fouini ,,
4020,Maroc,Dar El Kebdani ,,
4021,Soudan,Dar Guimr,Région géographique ,
4022,Soudan,Dar Massalit,Région géographique ,
4023,République centrafricaine,Dar Rounga,Région géographique ,
4024,Sénégal,Dar Salam ,,
4025,Bénin,Dassa Zoumé ,,
4026,Djibouti,Datato ,,
4027,Éthiopie,Datchatou,Cours d\eau ,
4028,Maine-et-Loire ; France,Daumeray ,,
4029,Alabama ; États-Unis,Dauphine Island ,,
4030,Alabama ; États-Unis,Dauphine,Île ,
4031,France,Dauphiné,Région géographique ,
4032,"Sainte-Lucie, Île",Dauphin ,,
4033,Canada,Dautrée,Seigneurie ,
4034,Algérie,Davout ,,
4035,Birmanie,Dawei Island ,,
4036,Birmanie,Dawei ,,
4037,Saint-Domingue Île de,Daxavon ,,
4038,Allemagne,Daxlanden ,,
4039,Landes ; France,Dax ,,
4040,Algérie,Daya ,,
4041,Djibouti,Day,Forêt de ,
4042,Vietnam,Da Can ,,
4043,Vietnam,Da Lat/Krong Pha,Route ,
4044,Vietnam,Da Lat/Krong Pha,Voie ferrée ,
4045,Vietnam,Da Lat/Phan Rang,Voie ferrée ,
4046,Vietnam,Da Lat ,,
4047,Vietnam,Da Nang ,,
4048,Vietnam,Da Nhim,Cours d\eau ,
4049,Chau Doc ; Vietnam,Da Phuoc ,,
4050,Quang Nam ; Vietnam,Da Phuoc ,,
4051,Calvados ; France,Deauville ,,
4052,Algérie,Debar,Djebel ,
4053,Togo,Débénou ,,
4054,Sénégal,Debi ,,
4055,Guinée,Déboké ,,
4056,Mali,Débo,Lac ,
4057,Côte d\'Ivoire,Débrimou ,,
4058,Algérie,Debrousseville ,,
4059,Bénin,Décamé,Région géographique ,
4060,Inde,Deccan,Région géographique ,
4061,Éthiopie,Dechatu,Cours d\eau ,
4062,Algérie,Dechmya ,,
4063,Nièvre ; France,Decize ,,
4064,Burkina Faso,Dédougou,Cercle ,
4065,Togo,Degbenou ,,
4066,Rémire-Montjoly ; Guyane française,Dégrad des Cannes ,,
4067,Algérie,Deheb,Cours d\eau ,
4068,Algérie,Dehemcha ,,
4069,République centrafricaine,Dékoa,Subdivision ,
4070,Mali,Delaba,Cours d\eau ,
4071,États-Unis,Delaware,Cours d\eau ,
4072,États-Unis,Delaware,État ,
4073,Algérie,Deldoul ,,
4074,"Basse-Terre ; Guadeloupe, Île de la",Delgrès,Fort ,
4075,Algérie,Dellys ,,
4076,Algérie,Dellys,Cercle ,
4077,Algérie,Dellys,Commune mixte ,
4078,Algérie,Dellys,Pointe de ,
4079,Algérie,Dellys,Subdivision ,
4080,"Saint-Domingue, Île de",Délugé ,,
4081,Algérie,Dély Ibrahim ,,
4082,Guinée,Dembéla,Région géographique ,
4083,Guinée équatoriale,Dembo ,,
4084,Amérique du Sud,Demerara,Colonie néerlandaise ,
4085,Amérique du Sud,Demerary,Colonie néerlandaise ,
4086,Maroc,Demnate ,,
4087,Algérie,Demnia ,,
4088,Algérie,Dem El Begrat ,,
4089,Burkina Faso,Dem,Lac de ,
4090,Nord,Denain ,,
4091,Nord ; France,Denain ,,
4092,Algérie,Denaïra ,,
4093,"Guadeloupe, Île de la",Denambuc,Habitation ,
4094,Belgique,Dendermonde ,,
4095,Bénin/Niger,Dendi,Région géographique ,
4096,Gabon,Denis ,,
4097,Gabon,Denis,Pointe ,
4098,"Sainte-Lucie, Île",Dennery ,,
4099,Algérie,Dermel,Cours d\eau ,
4100,Algérie,Derrag ,,
4101,Irlande,Derry ,,
4102,Loire-Atlantique ; France,Derval ,,
4103,Algérie,Desaix ,,
4104,"Fort-de-France ; Martinique, Île de la",Desaix,Fort ,
4105,Canada,Deschaillons,Seigneurie ,
4106,Canada,Deschambault ,,
4107,Canada,Deschambault,Seigneurie ,
4108,"Guadeloupe, Île de la",Deshaies ,,
4109,"Guadeloupe, Île de la",Deshayes ,,
4110,Antilles,Désirade,Île de la ,
4111,"Saint-Claude ; Guadeloupe, Île de la",Desmarais,Habitation ,
4112,"La Trinité ; Martinique, Île de la",Desmarinières,Habitation ,
4113,"Le François ; Martinique, Île de la",Desroses,Habitation ,
4114,"Nippes ; Saint-Domingue, Île de",Dessaint,Habitation ,
4115,"Baie-Mahault ; Guadeloupe, Île de la",Destrelan ,,
4116,"Baie-Mahault ; Guadeloupe, Île de la",Destrellan ,,
4117,Canada,Des Islets,Seigneurie ,
4118,Louisiane ; États-Unis,Détour aux Anglais,Poste ,
4119,Louisiane ; États-Unis,Détour à l\Anglais,Poste ,
4120,Louisiane ; États-Unis,Détour des Plaquemines,Poste ,
4121,Michigan ; États-Unis,Détroit du Lac Érié ,,
4122,Detroit ; Michigan ; États-Unis,Détroit,Fort ,
4123,Michigan ; États-Unis,Detroit ,,
4124,,Deutschland,,
4125,Roura ; Guyane française,Deux-Caps,Habitation ,
4126,"Fonds-Saint-Denis ; Martinique, Île de la",Deux-Choux ,,
4127,France,Deux-Sèvres,Département ,
4128,Italie,Deux-Siciles,Royaume ,
4129,"Martinique, Île de la",Deux Choux/Le Morne-Rouge,Route ,
4130,"Martinique, Île de la",Deux Choux/Sainte-Marie,Route ,
4131,"Fonds-Saint-Denis ; Martinique, Île de la",Deux Choux ,,
4132,Canada,Deux Montagnes,Lac des ,
4133,Seine-Maritime ; France,Déville-lès-Rouen ,,
4134,Ardennes ; France,Deville ,,
4135,"Baillif ; Guadeloupe, Île de la",De Bourg,Habitation ,
4136,Algérie,De Foucauld ,,
4137,Vietnam,De Gi ,,
4138,Canada,De Maure,Seigneurie ,
4139,Bangladesh,Dhaka ,,
4140,Algérie,Dhaya ,,
4141,Sénégal,Dhimbering ,,
4142,Burkina Faso,Diabiga ,,
4143,Guyane française,Diable,Îles du ,
4144,Sénégal,Diable,Îles du ,
4145,Guyane française,Diable,Île du ,
4146,Mali,Diafarabé ,,
4147,Sénégal,Diaganiao ,,
4148,"Nouvelle-Calédonie, Île de la",Diahot,Camp ,
4149,Mali,Diakandapé ,,
4150,Mali,Diaka,Cours d’eau ,
4151,Sénégal,Diakhanor ,,
4152,Sénégal,Diakhao ,,
4153,Sénégal,Diakha,Région géographique ,
4154,Mali,Diako,Région géographique ,
4155,Mali,Dialafara ,,
4156,Sénégal,Dialakhar ,,
4157,Saint-Louis ; Sénégal,Diamaguène,Quartier ,
4158,Côte d\'Ivoire,Diamala,Région géographique ,
4159,Guinée,Diamanko,Cours d\eau ,
4160,Guyane française,Diamant,Poste ,
4161,Cameroun,Diamaré,Circonscription ,
4162,Mali,Diamou ,,
4163,Sénégal,Diana Malari ,,
4164,Sénégal,Diaouar ,,
4165,Sénégal,Diaoudoune ,,
4166,Burkina Faso,Diapaga,Cercle ,
4167,Burkina Faso,Diarabakoko ,,
4168,Guinée,Diassako,Cours d’eau ,
4169,Guinée,Diassa,Cours d\eau ,
4170,Côte d\'Ivoire,Dibou ,,
4171,Sénégal,Diddé ,,
4172,Algérie,Diderot ,,
4173,"Fort-de-France ; Martinique, Île de la",Didier,Quartier ,
4174,Algérie,Didouche Mourad ,,
4175,Mali,Diébédougou,Région géographique ,
4176,Burkina Faso,Diébougou ,,
4177,Burkina Faso,Diébougou,Cercle ,
4178,Guinée,Diécké/N\Zérékoré,Route ,
4179,Mali,Diédougou,Région géographique ,
4180,Burkina Faso,Diéfourma ,,
4181,Guinée équatoriale,Diéké ,,
4182,République du Congo,Diélé,Cours d\eau ,
4183,Sénégal,Diembéreng ,,
4184,Vietnam,Diem Dien ,,
4185,Mali,Diéna ,,
4186,Vietnam,Dien Ban,Province ,
4187,Vietnam,Dien Ban ,,
4188,Vietnam,Dien Bien Phu ,,
4189,Vietnam,Dien Binh ,,
4190,Vietnam,Dien Chau ,,
4191,Vietnam,Dien Khanh ,,
4192,Meuse ; France,Dieppe-sous-Douaumont ,,
4193,Seine-Maritime ; France,Dieppe ,,
4194,Meurthe-et-Moselle ; France,Dieulouard ,,
4195,Moselle ; France,Dieuze ,,
4196,Vietnam,Dieu Tri ,,
4197,Drôme ; France,Die ,,
4198,Alpes-de-Haute-Provence ; France,Digne-les-Bains ,,
4199,Alpes-de-Haute-Provence ; France,Digne ,,
4200,Saône-et-Loire ; France,Digoin ,,
4201,Côte-d\'Or ; France,Dijon ,,
4202,Djibouti,Dikhil,Cercle ,
4203,Djibouti,Dikhil ,,
4204,Nigeria,Dikoa ,,
4205,Nigeria,Dikwa ,,
4206,Sénégal,Dimar,Région géographique ,
4207,Syrie,Dimashq ,,
4208,Côte d\'Ivoire,Dimbokro ,,
4209,Côtes-d’Armor ; France,Dinan ,,
4210,Ille-et-Villaine,Dinard ,,
4211,Ille-et-Vilaine ; France,Dingé ,,
4212,Guinée,Dinguiraye ,,
4213,Haute-Savoie ; France,Dingy-Saint-Clair ,,
4214,Vietnam,Dinh Tuong,Province ,
4215,Haute-Marne ; France,Dinteville ,,
4216,Sénégal,Dioba,Région géographique ,
4217,Mali,Diomboko,Région géographique ,
4218,Sénégal,Diombos,Cours d\eau ,
4219,Mali,Dionkoloni,Région géographique ,
4220,Sénégal,Dionouar ,,
4221,Guinée,Dion,Cours d\eau ,
4222,Mali,Dioubéba ,,
4223,Sénégal,Diourbel/Touba,Voie ferrée ,
4224,Sénégal,Diourbel,Cercle ,
4225,Sénégal,Diourbel ,,
4226,Mali,Dio ,,
4227,Algérie,Dirah ,,
4228,Éthiopie/Djibouti,Dire Daoua/Djibouti,Voie ferrée ,
4229,Éthiopie,Dire Daoua ,,
4230,Mali,Diré ,,
4231,Louisiane ; États-Unis,Dironbourg ,,
4232,Cameroun,Ditam ,,
4233,Guinée,Ditinn ,,
4234,Inde,Diu ,,
4235,République du Congo,Divénié,Subdivision ,
4236,Côte d\'Ivoire,Divo ,,
4237,Vietnam,Di An ,,
4238,Cameroun,Dja-et-Lobo,Circonscription ,
4239,Djibouti,Djalelo,Lieu-dit ,
4240,Bénin,Djalloukou ,,
4241,République centrafricaine,Djambala ,,
4242,République du Congo,Djambala,Subdivision ,
4243,Algérie/Tchad,Djanet/Tibesti,Route ,
4244,Algérie,Djanet ,,
4245,Algérie,Djasr Kasentina ,,
4246,Cameroun/République du Congo,Dja,Cours d\eau ,
4247,Algérie,Djebahia ,,
4248,Algérie,Djebellah ,,
4249,Algérie,Djebel Aïssa Mimoun ,,
4250,Algérie,Djebel Amara ,,
4251,Algérie,Djebel Aougueb ,,
4252,Algérie,Djebel Nador,Commune mixte ,
4253,Algérie,Djebel Ouach,Étang du ,
4254,Burkina Faso,Djébiga ,,
4255,Algérie,Djeblaâ ,,
4256,Arabie Saoudite,Djeddah ,,
4257,Algérie,Djediouia,Cours d’eau ,
4258,Algérie,Djelfa ,,
4259,Algérie,Djelfa,Annexe ,
4260,Algérie,Djelfa,Arrondissement ,
4261,Algérie,Djelfa,Cercle ,
4262,Algérie,Djelfa,Commune indigène ,
4263,Algérie,Djelfa,Commune mixte ,
4264,Algérie,Djelida Ahl El Oued ,,
4265,Algérie,Djelida ,,
4266,Algérie,Djemaâ Ghazaouat ,,
4267,Algérie,Djemaâ Saaridj ,,
4268,Algérie,Djemaâ,Cours d\eau ,
4269,République centrafricaine,Djembé ,,
4270,Algérie,Djemila ,,
4271,Algérie,Djemorah ,,
4272,Algérie,Djenan Ed Dar ,,
4273,Algérie,Djenan El Chergui ,,
4274,Alger ; Algérie,Djendel ,,
4275,Algérie,Djendel,Commune mixte ,
4276,Constantine ; Algérie,Djendel ,,
4277,Algérie,Djendel,Territoire des ,
4278,Algérie,Djenien Bou Rezg ,,
4279,Algérie,Djennad ,,
4280,Mali,Djenné ,,
4281,République du Congo,Djeno ,,
4282,Algérie,Djen Djen,Cours d\eau ,
4283,Tunisie,Djerba,Île de ,
4284,Niger,Djerma Ganda,Région géographique ,
4285,Niger,Djerma,Région géographique ,
4286,Algérie,Djermouna ,,
4287,Algérie,Djer,Cours d\eau ,
4288,Bénin,Djetta ,,
4289,Algérie,Djezia ,,
4290,,Djibouti,,
4291,Djibouti/Éthiopie,Djibouti/Harrar,Voie ferrée ,
4292,Djibouti,Djibouti/Ouéha,Route ,
4293,Djibouti,Djibouti ,,
4294,Burkina Faso,Djibo,Cercle ,
4295,Mali,Djidabougou ,,
4296,Algérie,Djidjelli ,,
4297,Algérie,Djidjelli,Arrondissement ,
4298,Algérie,Djidjelli,Cercle ,
4299,Algérie,Djidjelli,Commune mixte ,
4300,Éthiopie,Djidjiga ,,
4301,Algérie,Djilali Ben Amar ,,
4302,Côte d\'Ivoire,Djimini,Région géographique ,
4303,Algérie,Djinet ,,
4304,Sénégal,Djogué,Île ,
4305,Sénégal,Djolof,Région géographique ,
4306,Sénégal,Djomboss,Cours d\eau ,
4307,Algérie,Djorf,Camp ,
4308,Algérie,Djouab ,,
4309,Gabon/République du Congo,Djouah/Sembé,Route ,
4310,Gabon,Djouah,Circonscription ,
4311,Gabon/République du Congo,Djouah,Cours d\eau ,
4312,République du Congo,Djouari,Cours d\eau ,
4313,Algérie,Djoua ,,
4314,Tchad,Djoua ,,
4315,République du Congo,Djoué,Circonscription ,
4316,République du Congo,Djoué,Cours d\eau ,
4317,Bénin,Djougou/Parakou,Voie ferrée ,
4318,Bénin,Djougou ,,
4319,Bénin,Djougou,Cercle ,
4320,Algérie,Djouidat ,,
4321,Algérie,Djurdjura,Commune mixte ,
4322,Algérie,Djurdjura,Massif du ,
4323,Mali,Dlamba,Cours d\eau ,
4324,Tchad,Doba,Subdivision ,
4325,Vosges ; France,Docelles ,,
4326,Grèce,Dodécanèse,Archipel du ,
4327,Grèce,Dodekánisa,Archipel du ,
4328,Bénin,Dogba ,,
4329,Niger,Dogérawa ,,
4330,"Nouvelle-Calédonie, Île de la",Dogny/La Foa,Route ,
4331,Niger,Dogondoutchi ,,
4332,Niger,Doguéraoua ,,
4333,Ille-et-Vilaine ; France,Dol-de-Bretagne ,,
4334,"Gourbeyre ; Guadeloupe, Île de la",Dolé-les-Bains ,,
4335,"Gourbeyre ; Guadeloupe, Île de la",Dolé ,,
4336,"Gourbeyre ; Guadeloupe, Île de la",Dolé,Habitation ,
4337,Jura ; France,Dole ,,
4338,Algérie,Dolfusville ,,
4339,République du Congo/Gabon,Dolisie/Gabon,Route ,
4340,République du Congo,Dolisie ,,
4341,République du Congo,Dolisie,Subdivision ,
4342,"Gourbeyre ; Guadeloupe, Île de la",Dollé,Habitation ,
4343,Yonne ; France,Dollot ,,
4344,Moselle ; France,Dolving ,,
4345,Liberia,Domar Bousié ,,
4346,Mali,Domba,Région géographique ,
4347,Canada,Dombourg,Seigneurie ,
4348,Sarthe ; France,Domfront-en-Champagne ,,
4349,Oise ; France,Domfront ,,
4350,Orne ; France,Domfront ,,
4351,,Dominica,,
4352,Algérie,Dominique-Luciani ,,
4353,Antilles,Dominique,Île de la ,
4354,Ille-et-Vilaine ; France,Domloup ,,
4355,Moselle ; France,Domnom-lès-Dieuze ,,
4356,Vosges ; France,Dompaire-la-Viéville ,,
4357,Vosges ; France,Dompaire ,,
4358,Saône-et-Loire ; France,Dompierre-les-Ormes ,,
4359,Oise ; France,Dompierre ,,
4360,Orne ; France,Dompierre ,,
4361,Vietnam,Donai,Cours d\eau ,
4362,"Saint-Domingue, Île de",Dondon ,,
4363,Loire-Atlantique ; France,Donges ,,
4364,Mali,Dongoï ,,
4365,République du Congo,Dongou ,,
4366,République du Congo,Dongou,Subdivision ,
4367,Vietnam,Dong Anh/Thai Nguyen,Voie ferrée ,
4368,Vietnam,Dong An ,,
4369,Vietnam,Dong Chiem ,,
4370,Vietnam,Dong Dang/Na Cham,Voie ferrée ,
4371,Vietnam,Dong Dang ,,
4372,Vietnam,Dong Doi ,,
4373,Vietnam/Laos,Dong Ha/Keng Kabao,Route ,
4374,Vietnam/Laos,Dong Ha/Keng Kabao,Voie ferrée ,
4375,Vietnam,Dong Ha/Vinh,Route ,
4376,Vietnam,Dong Ha/Vinh,Voie ferrée ,
4377,Vietnam,Dong Ha ,,
4378,Vietnam,Dong Hoi,Province ,
4379,Vietnam,Dong Hoi ,,
4380,Vietnam,Dong Khe ,,
4381,Vietnam,Dong Lam ,,
4382,Vietnam,Dong Nai,Cours d\eau ,
4383,Vietnam,Dong Nai,Province ,
4384,Vietnam,Dong Son ,,
4385,Vietnam,Dong Tiem ,,
4386,Vietnam,Dong Trach ,,
4387,Vietnam,Dong Trieu ,,
4388,Vietnam,Dong Xuan ,,
4389,Vietnam,Donnai,Cours d\eau ,
4390,Espagne,Donostia-San Sebastián ,,
4391,Corrèze ; France,Donzenac ,,
4392,Saône-et-Loire,Donzy-le-National ,,
4393,Saône-et-Loire ; France,Donzy-le-Royal ,,
4394,Laos,Don Det ,,
4395,Puy-de-Dôme ; France,Dorat ,,
4396,Orne ; France,Dorceau ,,
4397,France,Dordogne,Cours d\eau ,
4398,France,Dordogne,Département ,
4399,Mali,Dorébougou ,,
4400,Mali,Dorébougou,Région géographique ,
4401,Burkina Faso,Dori ,,
4402,Burkina Faso,Dori,Cercle ,
4403,Nièvre ; France,Dornes ,,
4404,"Guadeloupe, Île de la",Dos-d\Âne ,,
4405,"Gourbeyre ; Guadeloupe, Île de la",Dos-d\Âne,Habitation ,
4406,Mali,Dosamana,Région géographique ,
4407,"Gourbeyre ; Guadeloupe, Île de la",Dosdane,Habitation ,
4408,,Dossenheim-sur-Zinsel,,
4409,Bas-Rhin ; France,Dossenheim ,,
4410,Niger,Dosso/Niamey,Route ,
4411,Niger,Dosso,Cercle ,
4412,Niger,Dosso ,,
4413,"Guadeloupe, Île de la",Dos Dasne ,,
4414,Alger ; Algérie,Douairs ,,
4415,Nord ; France,Douai ,,
4416,Cameroun,Douala/Édéa,Route ,
4417,Cameroun,Douala/Maroua,Route ,
4418,Cameroun,Douala/Obala,Route ,
4419,Cameroun/Tchad,Douala/Tchad,Voie ferrée ,
4420,Cameroun,Douala/Yaoundé,Voie ferrée ,
4421,Cameroun,Douala ,,
4422,Cameroun,Douala,Circonscription ,
4423,Algérie,Douaouda ,,
4424,Finistère ; France,Douarnenez ,,
4425,Algérie,Douar Sbiba ,,
4426,France,Doubs,Département ,
4427,Aisne ; France,Douchy ,,
4428,Pas-de-Calais ; France,Doudeauville ,,
4429,Maine-et-Loire ; France,Doué-la-Fontaine ,,
4430,Lot ; France,Douelle ,,
4431,Algérie,Douéra ,,
4432,Côte d\'Ivoire,Doué ,,
4433,Sénégal,Doué,Cours d\eau ,
4434,Mali,Dougouolo ,,
4435,Mali,Dougourakoro ,,
4436,Sierra Leone,Dougouta,Région géographique ,
4437,Algérie,Doukkane ,,
4438,Somme ; France,Doullens ,,
4439,République du Congo,Doumanga/Pointe-Noire,Voie ferrée ,
4440,République du Congo,Doumanga ,,
4441,Djibouti,Doumeïra,Île ,
4442,Cameroun,Doumé ,,
4443,Cameroun,Doumé,Subdivision ,
4444,Pyrénées-Atlantiques ; France,Doumy ,,
4445,Burkina Faso,Douna ,,
4446,Essonne ; France,Dourdan ,,
4447,Aude ; France,Douzens ,,
4448,Ardennes ; France,Douzy ,,
4449,Guinée,Doyama ,,
4450,Vietnam,Do Luong ,,
4451,Vietnam,Do Son/Haiphong,Route ,
4452,Vietnam,Do Son/Haiphong,Voie ferrée ,
4453,Vietnam,Do Son ,,
4454,Algérie,Draâ El Mizan ,,
4455,Algérie,Draâ Esmar ,,
4456,Guinée,Dragonnier,Anse du ,
4457,Var ; France,Draguignan ,,
4458,Algérie,Drahdar ,,
4459,Algérie,Dramena ,,
4460,Algérie,Draria ,,
4461,Algérie,Dra Ben Khedda ,,
4462,Algérie,Dra El Mizan ,,
4463,Algérie,Dra El Mizan,Arrondissement ,
4464,Algérie,Dra El Mizan,Cercle ,
4465,Algérie,Dra El Mizan,Commune mixte ,
4466,Algérie,Dra Sachem ,,
4467,Algérie,Dréan ,,
4468,Algérie,Dréa ,,
4469,Eure-et-Loir ; France,Dreux ,,
4470,Irlande,Drogheda ,,
4471,Algérie,Droh ,,
4472,Somme ; France,Dromesnil ,,
4473,France,Drôme,Département ,
4474,Bas-Rhin ; France,Drusenheim ,,
4475,Nièvre ; France,Druy ,,
4476,Syrie,Druze,Djebel ,
4477,Floride ; États-Unis,Dry Tortugas,Îles ,
4478,Cameroun,Dschang ,,
4479,Cameroun,Dschang,Circonscription ,
4480,Algérie,Dublineau ,,
4481,Irlande,Dublin ,,
4482,Guinée,Dubréka,Cercle ,
4483,Guinée,Dubréka,Cours d\eau ,
4484,Guinée,Dubréka ,,
4485,Croatie,Dubrovnik ,,
4486,Canada,Duchesne,Cours d\eau ,
4487,Seine-Maritime ; France,Duclair ,,
4488,"Martinique, Île de la",Ducos ,,
4489,"Nouméa ; Nouvelle-Calédonie, Île de la",Ducos,Presqu\île ,
4490,Vietnam,Duc Bac ,,
4491,Vietnam,Duc Pho ,,
4492,Vietnam,Duc Tan ,,
4493,Vietnam,Duc Tho ,,
4494,Allemagne,Düsseldorf ,,
4495,"La Trinité ; Martinique, Île de la",Duferret,Habitation ,
4496,Seine-Saint-Denis ; France,Dugny ,,
4497,Sierra Leone,Duguta,Région géographique ,
4498,Éthiopie,Dukem,Cours d\eau ,
4499,Éthiopie,Dukham,Cours d\eau ,
4500,"Nouvelle-Calédonie, Île de la",Dumbéa/Nouméa,Voie ferrée ,
4501,"Nouvelle-Calédonie, Île de la",Dumbéa/Païta,Voie ferrée ,
4502,"Nouvelle-Calédonie, Île de la",Dumbéa,Cours d\eau ,
4503,"Nouvelle-Calédonie, Île de la",Dumbéa ,,
4504,Niger,Dungass ,,
4505,Haute-Loire ; France,Dunières ,,
4506,Nord ; France,Dunkerque ,,
4507,"Sainte-Anne ; Martinique, Île de la",Dunkerque,Pointe ,
4508,Vietnam,Duong Dong ,,
4509,Vietnam,Duong Hoa ,,
4510,Vietnam,Duong Son ,,
4511,Canada,Dupas,Île ,
4512,Algérie,Duperré ,,
4513,Algérie,Duperré,Arrondissement ,
4514,Algérie,Dupleix ,,
4515,"Baie-Mahault ; Guadeloupe, Île de la",Dupuy,Habitation ,
4516,Algérie,Duquesne ,,
4517,Pittsburgh ; Pennsylvanie ; États-Unis,Duquesne,Fort ,
4518,Canada,Duquet,Seigneurie ,
4519,"Guadeloupe, Île de la",Durand,Habitation ,
4520,Lot ; France,Duravel ,,
4521,Ariège ; France,Durban-sur-Arize ,,
4522,Orne ; France,Durcet ,,
4523,Syrie,Duruz,Djebel ,
4524,Algérie,Dutertre ,,
4525,Bas-Rhin ; France,Duttlenheim ,,
4526,"Fort-de-France ; Martinique, Île de la",Duturon,Habitation ,
4527,Algérie,Duveyrier ,,
4528,Algérie,Duvivier ,,
4529,Vietnam,Duy Xuyen ,,
4530,Algérie,Duzerville ,,
4531,Canada,Du Chêne,Cours d\eau ,
4532,Vietnam,Du Do ,,
4533,Vietnam,Du Khanh ,,
4534,"Le Gosier ; Guadeloupe, Île de la",Du Mont,Anse ,
4535,"Vieux-Habitants ; Guadeloupe, Île de la",Du Plessis,Montagne ,
4536,Canada,Du Tremblay,Seigneurie ,
4537,Canada,D\Autray,Seigneurie ,
4538,Sénégal,D\Hiogué,Île ,
4539,Canada,D\Orvilliers,Seigneurie ,
4540,Gers ; France,Eauze ,,
4541,Cameroun,Ebemwok/Kribi,Route ,
4542,Cameroun,Ebemwok/Meyo,Route ,
4543,Guinée équatoriale,Éboko ,,
4544,Cameroun,Ébolowa ,,
4545,Cameroun,Ébolowa,Circonscription ,
4546,Côte d\'Ivoire,Ébrié,Lagune d\ ,
4547,Haute-Saône ; France,Échenoz-la-Méline ,,
4548,Memphis ; Tennessee ; États-Unis,Écors à Prudhomme,Poste ,
4549,,Écosse,,
4550,,Ecuador,,
4551,Algérie,Eddis ,,
4552,Algérie,Eddous,Cours d\eau ,
4553,Cameroun,Édéa ,,
4554,Cameroun,Édéa,Circonscription ,
4555,Algérie,Edgar-Quinet ,,
4556,Royaume-Uni,Édimbourg ,,
4557,Royaume-Uni,Edinburgh ,,
4558,Algérie,Edjeleh ,,
4559,Algérie,Edough,Cercle ,
4560,Algérie,Edough,Commune mixte ,
4561,Algérie,Edough,Massif de l\ ,
4562,Japon,Edo ,,
4563,Nord ; France,Eecke ,,
4564,"Vanuatu, Archipel du",Éfaté,Île ,
4565,"Guadeloupe, Île de la",Égalité ,,
4566,Allemagne,Eggenstein-Leopoldshafen ,,
4567,Corrèze ; France,Égletons ,,
4568,Algérie,Eguisheim ,,
4569,Haut-Rhin ; France,Eguisheim ,,
4570,,Égypte,,
4571,Côte d\'Ivoire/Ghana,Éhy,Lagune ,
4572,Allemagne,Eisbergen ,,
4573,République centrafricaine,Ékéla,Cours d\eau ,
4574,Gabon,Ékododo/Étomé,Route ,
4575,Gabon,Ékododo ,,
4576,Cameroun,Ekouk ,,
4577,Italie ; Île,Elba ,,
4578,Seine-Maritime ; France,Elbeuf-en-Bray ,,
4579,Seine-Maritime ; France,Elbeuf-sur-Andelle ,,
4580,Seine-Maritime ; France,Elbeuf ,,
4581,Italie,Elbe,Île d’ ,
4582,Allemagne,Eldenbourg ,,
4583,Allemagne,Eldenburg ,,
4584,Sénégal,Élenkine ,,
4585,Sénégal,Élinkine ,,
4586,République démocratique du Congo,Elizabethville ,,
4587,,Ellada,,
4588,Inde,Ellapoullesavady ,,
4589,Inde,Ellepoulléchavady ,,
4590,Algérie,Elli Zeggar ,,
4591,Algérie,Elma Besri ,,
4592,Ghana,Elmina ,,
4593,Guinée équatoriale,Elobey Grande,Île ,
4594,Guinée équatoriale,Elobey,Îles ,
4595,Gabon,Elobey,Pointe ,
4596,Algérie,El Abadia ,,
4597,Mauritanie,El Abiar,Lieu-dit ,
4598,Algérie,El Abiod,Cours d\eau ,
4599,Algérie,El Achir ,,
4600,Algérie,El Achour ,,
4601,Algérie,El Addarat,Cours d\eau ,
4602,Algérie,El Adjiba ,,
4603,Algérie,El Affroun ,,
4604,Algérie,El Agar ,,
4605,Algérie,El Agouf ,,
4606,Algérie,El Aïoun ,,
4607,Algérie,El Amar,Cours d\eau ,
4608,Algérie,El Amra ,,
4609,Algérie,El Amria ,,
4610,Algérie,El Amri ,,
4611,Algérie,El Anasser ,,
4612,Algérie,El Anser ,,
4613,Algérie,El Aouana ,,
4614,Algérie,El Aouinet ,,
4615,Algérie,El Aria ,,
4616,Algérie,El Aricha ,,
4617,Algérie,El Aricha,Annexe ,
4618,Algérie,El Arrouch ,,
4619,Algérie,El Attaf ,,
4620,Algérie,El Azizia ,,
4621,Algérie,El Bayadh ,,
4622,Algérie,El Beridj ,,
4623,Algérie,El Biar ,,
4624,Algérie,El Bidi ,,
4625,Algérie,El Bordj ,,
4626,Mauritanie,El Bouirât ,,
4627,Algérie,El Brana ,,
4628,Algérie,El Braya ,,
4629,Algérie,El Bridj ,,
4630,Algérie,El Dis ,,
4631,Algérie,El Djedian ,,
4632,Tunisie,El Djem ,,
4633,Algérie,El Djenah ,,
4634,Algérie,El Esnam ,,
4635,Algérie,El Euch ,,
4636,Algérie,El Eulma ,,
4637,Soudan,El Fascher ,,
4638,Algérie,El Fedjoudj ,,
