,Administration,NAME,Type,titre,titre_encoded,IREL_url,Coordonnees,latitude,longitude,Administration_bis,Lieu-dit_bis,placeName
2099,Algérie,Boghar,Cercle ,BogharCercle (Algérie),BogharCercle%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=BogharCercle%20%28Alg%C3%A9rie%29,,,,,,Algérie
2100,Algérie,Boghar,Commune indigène ,BogharCommune indigène (Algérie),BogharCommune%20indig%C3%A8ne%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=BogharCommune%20indig%C3%A8ne%20%28Alg%C3%A9rie%29,,,,,,Algérie
2103,Algérie,Boghni ,,Boghni (Algérie),Boghni%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boghni%20%28Alg%C3%A9rie%29,36.5422 3.9531,36.5422,3.9531,,,Algérie
2110,Algérie,Bois-Sacré ,,Bois-Sacré (Algérie),Bois-Sacr%C3%A9%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bois-Sacr%C3%A9%20%28Alg%C3%A9rie%29,36.8558 3.8567,36.8558,3.8567,,,Algérie
2134,Algérie,Bologhine ,,Bologhine (Algérie),Bologhine%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bologhine%20%28Alg%C3%A9rie%29,36.8067 3.0402,36.8067,3.0402,,,Algérie
2150,Algérie,Bône ,,Bône (Algérie),B%C3%B4ne%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=B%C3%B4ne%20%28Alg%C3%A9rie%29,36.8971 7.7640,36.8971,7.7640,,,Algérie
2151,Algérie,Bône,Arrondissement ,BôneArrondissement (Algérie),B%C3%B4neArrondissement%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=B%C3%B4neArrondissement%20%28Alg%C3%A9rie%29,,,,,,Algérie
2152,Algérie,Bône,Cercle ,BôneCercle (Algérie),B%C3%B4neCercle%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=B%C3%B4neCercle%20%28Alg%C3%A9rie%29,,,,,,Algérie
2153,Algérie,Bône,Département ,BôneDépartement (Algérie),B%C3%B4neD%C3%A9partement%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=B%C3%B4neD%C3%A9partement%20%28Alg%C3%A9rie%29,,,,,,Algérie
2154,Algérie,Bône,Subdivision ,BôneSubdivision (Algérie),B%C3%B4neSubdivision%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=B%C3%B4neSubdivision%20%28Alg%C3%A9rie%29,,,,,,Algérie
2172,Algérie,Bonnier ,,Bonnier (Algérie),Bonnier%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bonnier%20%28Alg%C3%A9rie%29,35.2850 -0.6758,35.2850,-0.6758,,,Algérie
2188,Algérie,Bordj Ali ,,Bordj Ali (Algérie),Bordj%20Ali%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Ali%20%28Alg%C3%A9rie%29,36.6848 6.3588,36.6848,6.3588,,,Algérie
2189,Algérie,Bordj Boni ,,Bordj Boni (Algérie),Bordj%20Boni%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Boni%20%28Alg%C3%A9rie%29,36.2500 4.5667,36.2500,4.5667,,,Algérie
2190,Algérie,Bordj Bounaâma ,,Bordj Bounaâma (Algérie),Bordj%20Bouna%C3%A2ma%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Bouna%C3%A2ma%20%28Alg%C3%A9rie%29,35.8517 1.6181,35.8517,1.6181,,,Algérie
2191,Algérie,Bordj Bou Arreridj ,,Bordj Bou Arreridj (Algérie),Bordj%20Bou%20Arreridj%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Bou%20Arreridj%20%28Alg%C3%A9rie%29,36.0732 4.7611,36.0732,4.7611,,,Algérie
2192,Algérie,Bordj Bou Arreridj,Arrondissement ,Bordj Bou ArreridjArrondissement (Algérie),Bordj%20Bou%20ArreridjArrondissement%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Bou%20ArreridjArrondissement%20%28Alg%C3%A9rie%29,,,,,,Algérie
2193,Algérie,Bordj Bou Arreridj,Cercle ,Bordj Bou ArreridjCercle (Algérie),Bordj%20Bou%20ArreridjCercle%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Bou%20ArreridjCercle%20%28Alg%C3%A9rie%29,,,,,,Algérie
2194,Algérie,Bordj El Bahri ,,Bordj El Bahri (Algérie),Bordj%20El%20Bahri%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20El%20Bahri%20%28Alg%C3%A9rie%29,36.7866 3.2444,36.7866,3.2444,,,Algérie
2195,Algérie,Bordj El Emir Abdelkader ,,Bordj El Emir Abdelkader (Algérie),Bordj%20El%20Emir%20Abdelkader%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20El%20Emir%20Abdelkader%20%28Alg%C3%A9rie%29,35.865833 2.270278,35.865833,2.270278,,,Algérie
2196,Algérie,Bordj El Kiffan ,,Bordj El Kiffan (Algérie),Bordj%20El%20Kiffan%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20El%20Kiffan%20%28Alg%C3%A9rie%29,36.7487 3.1925,36.7487,3.1925,,,Algérie
2197,Algérie,Bordj El Kremis ,,Bordj El Kremis (Algérie),Bordj%20El%20Kremis%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20El%20Kremis%20%28Alg%C3%A9rie%29,,,,,,Algérie
2198,Algérie,Bordj Emir Khaled ,,Bordj Emir Khaled (Algérie),Bordj%20Emir%20Khaled%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Emir%20Khaled%20%28Alg%C3%A9rie%29,36.1214 2.2044,36.1214,2.2044,,,Algérie
2199,Algérie,Bordj Estienne ,,Bordj Estienne (Algérie),Bordj%20Estienne%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Estienne%20%28Alg%C3%A9rie%29,26.7194 0.1747,26.7194,0.1747,,,Algérie
2200,Algérie,Bordj Ghedir ,,Bordj Ghedir (Algérie),Bordj%20Ghedir%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Ghedir%20%28Alg%C3%A9rie%29,35.9011 4.8981,35.9011,4.8981,,,Algérie
2201,Algérie,Bordj Mamra ,,Bordj Mamra (Algérie),Bordj%20Mamra%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Mamra%20%28Alg%C3%A9rie%29,,,,,,Algérie
2202,Algérie,Bordj Medjana ,,Bordj Medjana (Algérie),Bordj%20Medjana%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Medjana%20%28Alg%C3%A9rie%29,36.1327 4.6725,36.1327,4.6725,,,Algérie
2203,Algérie,Bordj Mehiris ,,Bordj Mehiris (Algérie),Bordj%20Mehiris%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Mehiris%20%28Alg%C3%A9rie%29,36.175791 6.947103,36.175791,6.947103,,,Algérie
2204,Algérie,Bordj Ménaïel ,,Bordj Ménaïel (Algérie),Bordj%20M%C3%A9na%C3%AFel%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20M%C3%A9na%C3%AFel%20%28Alg%C3%A9rie%29,36.7433 3.7173,36.7433,3.7173,,,Algérie
2205,Algérie,Bordj Ménaïel,Arrondissement ,Bordj MénaïelArrondissement (Algérie),Bordj%20M%C3%A9na%C3%AFelArrondissement%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20M%C3%A9na%C3%AFelArrondissement%20%28Alg%C3%A9rie%29,,,,,,Algérie
2206,Algérie,Bordj Okhriss ,,Bordj Okhriss (Algérie),Bordj%20Okhriss%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Okhriss%20%28Alg%C3%A9rie%29,36.0833 3.9738,36.0833,3.9738,,,Algérie
2207,Algérie,Bordj Omar Driss ,,Bordj Omar Driss (Algérie),Bordj%20Omar%20Driss%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Omar%20Driss%20%28Alg%C3%A9rie%29,28.1043 6.8116,28.1043,6.8116,,,Algérie
2208,Algérie,Bordj R\'Dir ,,Bordj R\Dir (Algérie),Bordj%20R%5CDir%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20R%5CDir%20%28Alg%C3%A9rie%29,,,,,,Algérie
2209,Algérie,Bordj Sebaou ,,Bordj Sebaou (Algérie),Bordj%20Sebaou%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Sebaou%20%28Alg%C3%A9rie%29,36.7583 3.9202,36.7583,3.9202,,,Algérie
2210,Algérie,Bordj Zemoura ,,Bordj Zemoura (Algérie),Bordj%20Zemoura%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordj%20Zemoura%20%28Alg%C3%A9rie%29,36.2717 4.8495,36.2717,4.8495,,,Algérie
2213,Algérie,Borély-la-Sapie ,,Borély-la-Sapie (Algérie),Bor%C3%A9ly-la-Sapie%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bor%C3%A9ly-la-Sapie%20%28Alg%C3%A9rie%29,36.2320 2.5637,36.2320,2.5637,,,Algérie
2233,Algérie,Bosquet ,,Bosquet (Algérie),Bosquet%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bosquet%20%28Alg%C3%A9rie%29,36.0956 0.3261,36.0956,0.3261,,,Algérie
2238,Algérie,Bossuet ,,Bossuet (Algérie),Bossuet%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bossuet%20%28Alg%C3%A9rie%29,34.6758 -0.6202,34.6758,-0.6202,,,Algérie
2246,Algérie,Bouak,Cap ,BouakCap (Algérie),BouakCap%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=BouakCap%20%28Alg%C3%A9rie%29,,,,,,Algérie
2262,Algérie,Bouchagouf ,,Bouchagouf (Algérie),Bouchagouf%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouchagouf%20%28Alg%C3%A9rie%29,36.4717 7.7297,36.4717,7.7297,,,Algérie
2268,Algérie,Bouchtata Mahmoud ,,Bouchtata Mahmoud (Algérie),Bouchtata%20Mahmoud%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouchtata%20Mahmoud%20%28Alg%C3%A9rie%29,36.7938 6.7973,36.7938,6.7973,,,Algérie
2270,Algérie,Boudaroua ,,Boudaroua (Algérie),Boudaroua%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boudaroua%20%28Alg%C3%A9rie%29,36.5221 7.7060,36.5221,7.7060,,,Algérie
2272,Algérie,Bouderbala ,,Bouderbala (Algérie),Bouderbala%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouderbala%20%28Alg%C3%A9rie%29,36.5833 3.5000,36.5833,3.5000,,,Algérie
2273,Algérie,Boudjellil ,,Boudjellil (Algérie),Boudjellil%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boudjellil%20%28Alg%C3%A9rie%29,36.3506 4.4112,36.3506,4.4112,,,Algérie
2274,Algérie,Boudjima ,,Boudjima (Algérie),Boudjima%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boudjima%20%28Alg%C3%A9rie%29,36.8006 4.1500,36.8006,4.1500,,,Algérie
2275,Algérie,Boudouaou ,,Boudouaou (Algérie),Boudouaou%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boudouaou%20%28Alg%C3%A9rie%29,36.7274 3.4099,36.7274,3.4099,,,Algérie
2276,Algérie,Boudouaou,Cours d\'eau ,BoudouaouCours d\eau (Algérie),BoudouaouCours%20d%5Ceau%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=BoudouaouCours%20d%5Ceau%20%28Alg%C3%A9rie%29,,,,,,Algérie
2280,Algérie,Boufarik ,,Boufarik (Algérie),Boufarik%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boufarik%20%28Alg%C3%A9rie%29,36.5741 2.9121,36.5741,2.9121,,,Algérie
2281,Algérie,Boufatis ,,Boufatis (Algérie),Boufatis%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boufatis%20%28Alg%C3%A9rie%29,35.6796 -0.4113,35.6796,-0.4113,,,Algérie
2283,Algérie,Bougaa ,,Bougaa (Algérie),Bougaa%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bougaa%20%28Alg%C3%A9rie%29,36.3329 5.0884,36.3329,5.0884,,,Algérie
2284,Algérie,Bougainville ,,Bougainville (Algérie),Bougainville%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bougainville%20%28Alg%C3%A9rie%29,36.0691 1.3951,36.0691,1.3951,,,Algérie
2285,Algérie,Bougara ,,Bougara (Algérie),Bougara%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bougara%20%28Alg%C3%A9rie%29,36.5418 3.0810,36.5418,3.0810,,,Algérie
2286,Algérie,Bougaroun,Cap ,BougarounCap (Algérie),BougarounCap%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=BougarounCap%20%28Alg%C3%A9rie%29,,,,,,Algérie
2287,Algérie,Boughzoul ,,Boughzoul (Algérie),Boughzoul%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boughzoul%20%28Alg%C3%A9rie%29,35.7072 2.8402,35.7072,2.8402,,,Algérie
2288,Algérie,Bougie ,,Bougie (Algérie),Bougie%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bougie%20%28Alg%C3%A9rie%29,36.7432 5.0672,36.7432,5.0672,,,Algérie
2289,Algérie,Bougie,Arrondissement ,BougieArrondissement (Algérie),BougieArrondissement%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=BougieArrondissement%20%28Alg%C3%A9rie%29,,,,,,Algérie
2290,Algérie,Bougie,Cercle ,BougieCercle (Algérie),BougieCercle%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=BougieCercle%20%28Alg%C3%A9rie%29,,,,,,Algérie
2291,Algérie,Bougie,Commune indigène ,BougieCommune indigène (Algérie),BougieCommune%20indig%C3%A8ne%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=BougieCommune%20indig%C3%A8ne%20%28Alg%C3%A9rie%29,,,,,,Algérie
2292,Algérie,Bougie,Département ,BougieDépartement (Algérie),BougieD%C3%A9partement%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=BougieD%C3%A9partement%20%28Alg%C3%A9rie%29,,,,,,Algérie
2296,Algérie,Bougous ,,Bougous (Algérie),Bougous%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bougous%20%28Alg%C3%A9rie%29,36.6628 8.3742,36.6628,8.3742,,,Algérie
2297,Algérie,Bouguirat ,,Bouguirat (Algérie),Bouguirat%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouguirat%20%28Alg%C3%A9rie%29,35.7519 0.2526,35.7519,0.2526,,,Algérie
2298,Algérie,Bouhira ,,Bouhira (Algérie),Bouhira%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouhira%20%28Alg%C3%A9rie%29,36.2170 5.2805,36.2170,5.2805,,,Algérie
2300,Algérie,Bouilef ,,Bouilef (Algérie),Bouilef%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouilef%20%28Alg%C3%A9rie%29,35.5955 6.2118,35.5955,6.2118,,,Algérie
2306,Algérie,Bouïnan ,,Bouïnan (Algérie),Bou%C3%AFnan%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bou%C3%AFnan%20%28Alg%C3%A9rie%29,36.5317 2.9919,36.5317,2.9919,,,Algérie
2308,Algérie,Bouïra Sahary ,,Bouïra Sahary (Algérie),Bou%C3%AFra%20Sahary%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bou%C3%AFra%20Sahary%20%28Alg%C3%A9rie%29,35.3523 3.3612,35.3523,3.3612,,,Algérie
2309,Algérie,Bouïra ,,Bouïra (Algérie),Bou%C3%AFra%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bou%C3%AFra%20%28Alg%C3%A9rie%29,36.3795 3.8979,36.3795,3.8979,,,Algérie
2310,Algérie,Bouïra,Arrondissement ,BouïraArrondissement (Algérie),Bou%C3%AFraArrondissement%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bou%C3%AFraArrondissement%20%28Alg%C3%A9rie%29,,,,,,Algérie
2312,Algérie,Boukadir ,,Boukadir (Algérie),Boukadir%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boukadir%20%28Alg%C3%A9rie%29,36.0663 1.1260,36.0663,1.1260,,,Algérie
2313,Algérie,Boukamouza ,,Boukamouza (Algérie),Boukamouza%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boukamouza%20%28Alg%C3%A9rie%29,36.5815 7.7500,36.5815,7.7500,,,Algérie
2314,Algérie,Boukandoura ,,Boukandoura (Algérie),Boukandoura%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boukandoura%20%28Alg%C3%A9rie%29,36.5995 3.1626,36.5995,3.1626,,,Algérie
2316,Algérie,Boukhanefis ,,Boukhanefis (Algérie),Boukhanefis%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boukhanefis%20%28Alg%C3%A9rie%29,35.0659 -0.7220,35.0659,-0.7220,,,Algérie
2322,Algérie,Boulet ,,Boulet (Algérie),Boulet%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boulet%20%28Alg%C3%A9rie%29,35.1909 -0.3644,35.1909,-0.3644,,,Algérie
2337,Algérie,Boumahra Ahmed ,,Boumahra Ahmed (Algérie),Boumahra%20Ahmed%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boumahra%20Ahmed%20%28Alg%C3%A9rie%29,36.4583 7.5139,36.4583,7.5139,,,Algérie
2339,Algérie,Boumechada ,,Boumechada (Algérie),Boumechada%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boumechada%20%28Alg%C3%A9rie%29,36.1333 4.7031,36.1333,4.7031,,,Algérie
2340,Algérie,Boumerdès ,,Boumerdès (Algérie),Boumerd%C3%A8s%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boumerd%C3%A8s%20%28Alg%C3%A9rie%29,36.7607 3.4713,36.7607,3.4713,,,Algérie
2353,Algérie,Bourbaki ,,Bourbaki (Algérie),Bourbaki%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bourbaki%20%28Alg%C3%A9rie%29,35.6686 1.9649,35.6686,1.9649,,,Algérie
2394,Algérie,Bourkika ,,Bourkika (Algérie),Bourkika%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bourkika%20%28Alg%C3%A9rie%29,36.4945 2.4764,36.4945,2.4764,,,Algérie
2395,Algérie,Bourlier ,,Bourlier (Algérie),Bourlier%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bourlier%20%28Alg%C3%A9rie%29,35.3984 1.6235,35.3984,1.6235,,,Algérie
2399,Algérie,Bouskene ,,Bouskene (Algérie),Bouskene%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouskene%20%28Alg%C3%A9rie%29,36.1877 3.2342,36.1877,3.2342,,,Algérie
2405,Algérie,Bousselam,Cours d\'eau ,BousselamCours d\eau (Algérie),BousselamCours%20d%5Ceau%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=BousselamCours%20d%5Ceau%20%28Alg%C3%A9rie%29,,,,,,Algérie
2406,Algérie,Boussellam ,,Boussellam (Algérie),Boussellam%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boussellam%20%28Alg%C3%A9rie%29,36.4966 5.0086,36.4966,5.0086,,,Algérie
2410,Algérie,Boutan,Cours d\'eau ,BoutanCours d\eau (Algérie),BoutanCours%20d%5Ceau%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=BoutanCours%20d%5Ceau%20%28Alg%C3%A9rie%29,,,,,,Algérie
2411,Algérie,Bouteldja ,,Bouteldja (Algérie),Bouteldja%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouteldja%20%28Alg%C3%A9rie%29,36.7848 8.1972,36.7848,8.1972,,,Algérie
2412,Algérie,Boutenache ,,Boutenache (Algérie),Boutenache%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Boutenache%20%28Alg%C3%A9rie%29,36.7244 5.9830,36.7244,5.9830,,,Algérie
2419,Algérie,Bouyamine ,,Bouyamine (Algérie),Bouyamine%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouyamine%20%28Alg%C3%A9rie%29,36.444693 1.716978,36.444693,1.716978,,,Algérie
2420,Algérie,Bouzareah ,,Bouzareah (Algérie),Bouzareah%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouzareah%20%28Alg%C3%A9rie%29,36.7899 3.0177,36.7899,3.0177,,,Algérie
2421,Algérie,Bouzaréa ,,Bouzaréa (Algérie),Bouzar%C3%A9a%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouzar%C3%A9a%20%28Alg%C3%A9rie%29,36.7899 3.0177,36.7899,3.0177,,,Algérie
2422,Algérie,Bouzeghaia ,,Bouzeghaia (Algérie),Bouzeghaia%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouzeghaia%20%28Alg%C3%A9rie%29,36.3381 1.2400,36.3381,1.2400,,,Algérie
2423,Algérie,Bouzeguène ,,Bouzeguène (Algérie),Bouzegu%C3%A8ne%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouzegu%C3%A8ne%20%28Alg%C3%A9rie%29,36.6167 4.4798,36.6167,4.4798,,,Algérie
2424,Algérie,Bouzegza ,,Bouzegza (Algérie),Bouzegza%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouzegza%20%28Alg%C3%A9rie%29,36.5991 3.4312,36.5991,3.4312,,,Algérie
2425,Algérie,Bouzguen ,,Bouzguen (Algérie),Bouzguen%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouzguen%20%28Alg%C3%A9rie%29,36.6167 4.4798,36.6167,4.4798,,,Algérie
2426,Algérie,Bouzina ,,Bouzina (Algérie),Bouzina%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bouzina%20%28Alg%C3%A9rie%29,35.2794 6.1112,35.2794,6.1112,,,Algérie
2428,Algérie,Bou Addou ,,Bou Addou (Algérie),Bou%20Addou%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bou%20Addou%20%28Alg%C3%A9rie%29,36.5367 4.0555,36.5367,4.0555,,,Algérie
2429,Algérie,Bou Adjemi ,,Bou Adjemi (Algérie),Bou%20Adjemi%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bou%20Adjemi%20%28Alg%C3%A9rie%29,,,,,,Algérie
2430,Algérie,Bou Ahmar ,,Bou Ahmar (Algérie),Bou%20Ahmar%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bou%20Ahmar%20%28Alg%C3%A9rie%29,35.4167 6.3833,35.4167,6.3833,,,Algérie
2431,Algérie,Bou Akkache ,,Bou Akkache (Algérie),Bou%20Akkache%20%28Alg%C3%A9rie%29,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bou%20Akkache%20%28Alg%C3%A9rie%29,36.5017 4.2276,36.5017,4.2276,,,Algérie
