article_titre,revue_annee,GPE_ents,LOC_ents,ORG_ents,PATH_ents,SHS_ents,CHEM-LABO_ents
Pied de Madura à grains noirs observé à Madagascar.,1903,Madagascar,,,Pied de Madura,,
Maladies épidémiques et contagieuses qui ont régné dans les colonies françaises en 1901.,1903,,,,,,
Considérations sur l'établissement d'un sanatorium à Do-Son (Tonkin).,1903,Tonkin,,,,,
Fonctionnement de l'Institut Pasteur de Saïgon pendant l'année 1902.,1903,,,Institut Pasteur de Saïgon,,,
Pseudo-tuberculose d'origine palustre.,1903,,,,,,Pseudo-tuberculose
Variétés. Anopheles et paludisme.,1903,,,,paludisme,,
L'hibernation des moustiques,1903,,,,,,
"Le Nagana, le Surra et le Caderas constituent trois entités morbides distinctes.",1903,,,,,,Nagana
A propos des trypanosomes,1903,,,,,,trypanosomes
Géographie médicale. Îles Loyalty.,1904,,,,,Géographie médicale,
La vaccine à Saint-Louis (Sénégal).,1904,"Saint-Louis,Sénégal",,,vaccine,,
Prophylaxie de la variole sous les rois Malgaches jusqu'à l'occupation française (contribution à l'étude de la médecine dans les colonies françaises).,1904,,,,variole,rois Malgaches,
Épidémie de peste de Majunga en 1902.,1904,Majunga,,,peste,,
Une épidémie de choléra au Laos.,1904,Laos,,,choléra,,
Rapport sur une épidémie au Labé.,1904,Labé,,,,,
Les filaires et la filariose en Nouvelle-Calédonie.,1904,Calédonie,,,filariose,,
Notes sur la lèpre au Cambodge.,1904,Cambodge,,,lèpre,,
Tuberculose et alcoolisme à la Guadeloupe.,1904,Guadeloupe,,,"Tuberculose,alcoolisme",,
A propos de la filariose.,1904,,,,filariose,,
La syphilis à Mayotte.,1904,Mayotte,,,syphilis,,
Kérato-conjonctivite par projection de venin.,1904,,,,,,
Analyse élémentaire de quelques eaux minérales de l'île de la Réunion.,1904,île de la Réunion,,,,,
Contribution à l'étude de la fabrication de l'indigo.,1904,,,,,,
Variétés. Léproserie de Cochinchine,1904,Cochinchine,,,,,
"La fièvre jaune. Rapport de la mission française composée de MM. Marchoux, Salimbeni et Simond. I",1904,,,,fièvre jaune,,
Un cas d'ainhum observé à Pondichéry.,1904,Pondichéry,,,ainhum,,
"Épizootie de Surra, à Hatien.",1904,"Surra,Hatien",,,,,
Gigantisme et acromégalie.,1904,,,,,,
"Sur un protozoaire nouveau (Piroplasma Donovani Lav. et Mesn.), parasite d'une fièvre de l'Inde.",1904,Inde,,,fièvre de,,
Note sur la syphilis dans les établissements français de l'Inde.,1904,Inde,,,,,
La tuberculose à la Martinique.,1904,Martinique,,,tuberculose,,
Du suicide par auto-section linguale en Indo-Chine.,1904,Indo-Chine,,,,,
Contribution à l'étude de l'entéro-colite muco-membraneuse aux colonies.,1904,,,,,,
Relation d'une enquête relative à la maladie du sommeil dans le gouvernement général de l'Afrique occidentale française,1904,Afrique occidentale française,,,maladie du sommeil,,
"Trois cas d'ectrodactylie symétrique, héréditaire et congénitale.",1904,,,,ectrodactylie,,
Causes du développement et de la propagation de la variole à Madagascar avant l'occupation française.,1904,Madagascar,,,variole,,
"Variétés. Brigades de moustiques, comment les organiser. Résumé du travail de Ronald Ross.",1904,,,,,,
Notes sur le Tranninh.,1904,,,,,,
Morbidité et mortalité d'un convoi d'immigrants japonais en Nouvelle-Calédonie en 1901-1903.,1904,,,,,,
La tuberculose à Mayotte.,1904,Mayotte,,,tuberculose,,
"Prophylaxie du paludisme par la protection mécanique des habitations, à l'aide de toiles métalliques.",1904,,,,paludisme,,
"Fonctionnement du service vaccinogène de Nouméa (Nouvelle-Calédonie), 1901-1902.",1904,Calédonie,Nouméa,,,,
Notes sur le paludisme à Phu-Lang-Thuong.,1904,Phu-Lang-Thuong,,,paludisme,,
Le choléra asiatique à Luang-Prabang et dans le Haut-Laos en 1902.,1904,Haut-Laos,,,choléra asiatique,,
Note sur la framboesia à Pondichéry (statistique hospitalière).,1904,Pondichéry,,,framboesia,,
Des différentes épidémies de fièvre jaune qui ont régné dans les hauteurs de la Guadeloupe.,1904,Guadeloupe,,,fièvre jaune,,
Maladies épidémiques et contagieuses qui ont régné dans les colonies françaises en 1902.,1904,,,,,,
Note sur l'épidémie de peste du Fou-Tchéou (avril à octobre 1902).,1904,,,,peste,,
Épidémies de variole à Madagascar.,1904,Madagascar,,,variole,,
Variétés. Compte rendu sommaire du XIe Congrès international d'hygiène et de démographie tenu à Bruxelles du 2 au 8 septembre 1903.,1904,Bruxelles,,Congrès international d'hygiène et de démographie,,,XIe
Variétés. De quelques coutumes médicales des Méos du Tranninh (Laos).,1904,Laos,,,,Méos,
Géographie médicale. Guinée française.,1904,,,,,Géographie médicale,
Analyse des eaux servant actuellement à l'alimentation de la ville de Karikal.,1904,,,,,,
Géographie médicale. Contribution à l'étude des accès pernicieux palustres.,1904,,,,,Géographie médicale,
Géographie médicale. Fièvre à vomissements noirs chez les enfants créoles de la Guadeloupe.,1904,Guadeloupe,,,Fièvre à vomissements,Géographie médicale,
Notes sur la fièvre jaune à Tampico.,1904,Tampico,,,fièvre jaune,,
Infirmerie du Chemin de fer de la Côte d'Ivoire,1904,Côte d'Ivoire,,,,,
Considérations sur la tuberculose dans l'Inde française.,1904,,,,tuberculose,,
Note sur le pian au Cambodge.,1904,Cambodge,,,pian,,
Géographie médicale. Fermentation d'un tourteau d'arachides utilisé comme engrais.,1904,,,,,Géographie médicale,
Épidémie de fièvre jaune de Grand-Bassam en 1903.,1904,Grand-Bassam,,,fièvre jaune,,
Géographie médicale. Notes sur l'épidémie de peste qui a régné dans le nord de la Nouvelle-Calédonie (juillet-septembre 1903).,1904,Calédonie,,,peste,Géographie médicale,
Lombricose. Son rôle en pathologie exotique. — Ses relations avec l'appendicite.,1904,,,,,,
Géographie médicale. Lombricose. Son rôle en pathologie exotique.  — Ses relations avec l'appendicite,1904,,,,,Géographie médicale,
Géographie médicale. Notes sur la léproserie de Pondichéry.,1904,Pondichéry,,,,Géographie médicale,
Géographie médicale. Néphrite post-hémoglobinurique et opothérapie.,1904,,,,,Géographie médicale,
Variétés. Une épidémie de variole à Madagascar en 1817. ,1904,Madagascar,,,variole,,
L'accouchement chez les Annamites.,1904,Annamites,,,,,
La lutte contre l'alcoolisme à Madagascar,1904,Madagascar,,,alcoolisme,,
Géographie médicale. La route de Zinder.,1905,Zinder,,,,Géographie médicale,
Notes sur la lèpre dans nos diverses possessions coloniales.,1905,,,,lèpre,,
Notes sur la fièvre à vomissements noirs des enfants à la Guadeloupe.,1905,Guadeloupe,,,fièvre à,,
Notes sur la fièvre à vomissements noirs des enfants à la Guadeloupe.,1905,Guadeloupe,,,fièvre à,,
Le paludisme à Mong-Tseu (Yunnan).,1905,"Mong-Tseu,Yunnan",,,paludisme,,
"Quelques notes sur Yun-Nan-Sen, poste consulaire au Yunnan.",1905,Yunnan,,,,,
"Un cas de bilharziose vésicale, observé à Tombouctou.",1905,Tombouctou,,,bilharziose vésicale,,
Note sur la tuberculose au Tonkin.,1905,Tonkin,,,tuberculose,,
Note sur le serpent de corail en Nouvelle-Calédonie.,1905,Calédonie,,,,,
Statistique générale de la morbidité et de la mortalité dans les établissements hospitaliers des colonies françaises en 1902.,1905,,,,,,
À propos d'Aïnhum.,1905,,,,,,
Quelques tentatives d'inoculation de la lèpre.,1905,,,,lèpre,,
Quelques notes sur le pian au Cambodge.,1905,Cambodge,,,pian,,
Le paludisme à Mayotte.,1905,Mayotte,,,paludisme,,
"Reports of the trypanosomiasis expedition to the Congo (1903-1904), published for the University Press of Liverpool. ",1905,Congo,,,trypanosomiasis,,
Géographie médicale. Chari et lac Tchad.,1905,lac Tchad.,,,,Géographie médicale,
Rapport de route et de mission,1905,,,,,,
Le pays Oulé. Faune – Flore – Cultures.,1905,,,,,,
Note sur une nouvelle espèce de moustique de Madagascar (Stegomyia Lamberti).,1905,Madagascar,,,,,
Du rôle du paludisme en obstérique.,1905,,,,paludisme,,
Rétention d'urine par calcul préputial et phimosis.,1905,,,,Rétention d'urine,,
Enquête sur la tuberculose à Madagascar.,1905,Madagascar,,,tuberculose,,
"La minéralisation du plasma sanguin, dans le traitement de la fièvre bilieuse hémoglobinurique.",1905,,,,fièvre bilieuse,,
Fonctionnement du parc vaccinogène de Diégo-Suarez en 1903.,1905,Diégo-Suarez,,,,,
Rapport sur l'épidémie de choléra qui sévit en Perse (1904) et sur l'état actuel de l'hygiène.,1905,Perse,,,choléra,,
"Hernie iléo-caeco-appendiculaire. Hernio-laparotomie, appendicectomie. Guérison.",1905,,,,Hernie,,
Un cas de taenia observé à Lang-Son (Tonkin).,1905,Tonkin,,,,,
Étude du taenia recueilli au Tonkin. Par M. le Dr Lacour.,1905,Tonkin,,,,,taenia
Mort subite par perforation spontanée de l'oesophage.,1905,,,,,,
De la fréquence du diabète dans nos établissements de l'Inde (Extrait du Rapport annuel de 1903),1905,Inde,,,diabète,,
Observation d'appendicite et de péritonite consécutive.,1905,,,,,,
"Le ver blanc des cases indigènes au Congo (Larve de diptère suceuse de sang observée dans l'état libre de Congo). Premier rapport (pendant l'intérim) de l'expédition de l'École de médecine tropicale de Liverpool au Congo, 1903, par E. J. Dutton, J. L. Todd et C. Christy, traduit de l'anglais.",1905,"Congo,Congo,Congo",,École de médecine tropicale de Liverpool,ver blanc,,diptère
La fièvre jaune à Rio de Janeiro.,1905,"Rio,Janeiro",,,fièvre jaune,,
Note sur un nouvel appareil hémostatique stérilisable permettant de régler et de vérifier l'hémostase.,1905,,,,,,
"Variétés. Convention sanitaire intercoloniale des Antilles anglaises, arrêtée dans une conférence tenue à la Barbade, dans la ville de Bridgetown, en 1904, du 25 avril au 6 mai. ",1905,"Barbade,Bridgetown",,,,,
Géographie médicale. Djibouti.,1905,Djibouti,,,,Géographie médicale,
"Notes sur le choléra en basse Indo-Chine. Épidémies de Chaudoc, 1902 ; Kampot, 1903. Marche, prophylaxie.",1905,"Indo-Chine,Kampot",,,choléra,,
La doctrine anophélienne et le paludisme en émyrne (Madagascar).,1905,Madagascar,,,paludisme,,
Empoisonnement par l'absorption de feuilles de laurier-rose.,1905,,,,,,
Variole et vaccination à Mayotte.,1905,Mayotte,,,Variole,,
"Maladies endémiques, épidémiques et contagieuses qui ont régné dans les colonies françaises en 1903.",1905,,,,,,
Observation d'hermaphrodisme.,1905,,,,hermaphrodisme,,
"Us, coutumes, médecine des Bambaras.",1905,Bambaras,,,"Us, coutumes",,
Un traitement de la lèpre. Usité au Mossi (Soudan français).,1905,,,,lèpre,,
Variétés. Le paludisme à l'île de La Réunion,1905,Réunion,,,paludisme,,
Géographie médicale. Muhéli.,1905,,,,,Géographie médicale,
Note sur un nouveau traitement du bouton d'Alep ou Salek en Perse.,1905,Perse,,,bouton d'Alep,,
Le péril vénérien au Tonkin.,1905,Tonkin,,,,,
Considérations étiologiques sur la fièvre bilieuse hémoglobinurique.,1905,,,,fièvre bilieuse hémoglobinurique,,
La colite glaireuse endémique du delta Tonkinois.,1905,delta Tonkinois,,,colite glaireuse,,
Variole et vaccine en Afrique occidentale française pour l'année 1903.,1905,Afrique occidentale française,,,"Variole,vaccine",,
De la distomatose hépatique au Tonkin.,1905,Tonkin,,,distomatose hépatique,,
Du mycétome à grains noirs en Afrique.,1905,Afrique,,,mycétome à grains,,
Le Béribéri. Notes recueillies à l'hôpital de Choquan de 1902 à 1905.,1905,Choquan,,,,,
La peste bubonique au Tonkin.,1905,Tonkin,,,peste bubonique,,
Clinique d'outre-mer. Observation recueillie en Guinée.,1905,Guinée,,,,,
Variétés. Curieux tatouages chez une femme Betsileo.,1905,,,,,Betsileo,
Le paludisme à Tananarive,1905,Tananarive,,,paludisme,,
Enquête sur la fièvre bilieuse hémoglobinurique,1905,,,,fièvre bilieuse,,
Géographie médicale. L'île de Saint-Barthélémy.,1906,île de Saint-Barthélémy,,,,Géographie médicale,
Géographie médicale. L'île de Saint-Martin.,1906,île de Saint-Martin,,,,Géographie médicale,
Prophylaxie du paludisme.,1906,,,,paludisme,,
"Rapport sur l'épidémie de choléra de la province de Thaï-Binh, du 30 mars au 28 mai 1904.",1906,Thaï-Binh,,,choléra,,
La lèpre aux Marquises.,1906,Marquises,,,lèpre,,
Les oeuvres de bienfaisance et d'assistance créées en Cochinchine,1906,Cochinchine,,,,,
Recherches bio-chimiques sur l'eau d'alimentation de la ville de Saïgon.,1906,Saïgon,,,,,
Variole et vaccinations dans le Haut Oubangui.,1906,Oubangui,,,Variole,,
Notes sur la maladie du sommeil au Congo. État approximatif de sa diffusion au mois de juillet 1905,1906,Congo,,,maladie du sommeil,,
Notes démographiques et protection de l'enfance à Saint-Louis.,1906,Saint-Louis,,,,,
Clinique d'Outre-Mer. Un cas de calcul vésical de grosseur anormale chez un enfant.,1906,,,,,,
Ovariotomie abdominale pour kystes de l'ovaire chez les Annamites.,1906,Annamites,,,kystes,,
Notes de géographie médicale et de climatologie sur les monts de Cristal (Haut Como).,1906,,,,,géographie médicale,
Géographie médicale. Poste consulaire de Battambang.,1906,Battambang,,,,Géographie médicale,
Étude sur les moustiques en Afrique occidentale française (rôle pathogénique. — prophylaxie).,1906,Afrique occidentale française,,,,,
La tuberculose dans les colonies françaises et plus particulièrement chez les indigènes d'après les documents fournis par les chefs du service de santé.,1906,,,,tuberculose,,
Histoire de la vaccination en Annam.,1906,Annam,,,,,
La rage au Tonkin (extrait du rapport annuel de 1904.),1906,Tonkin,,,rage,,
Une observation de distomiase pulmonaire en Cochinchine. Quelques notes sur les accidents toxiques dus à des parasites animaux de l'intestin.,1906,Cochinchine,,,distomiase pulmonaire,,
La Bilharziose intestinale aux Antilles.,1906,Antilles,,,,,
De la purification des eaux de boisson et nouveau procédé chimique de purification totale et rapide des eaux destinées à l'alimentation.,1906,,,,,,
Quelques mots sur la fabrication et la composition du teou-fou (fromage de haricots chinois).,1906,,,,,,teou
Maladie du sommeil. Trypanosomiases animales et tsé-tsé dans la Guinée française.,1906,Guinée française,,,Maladie du sommeil,,
Variétés. Les médecins annamites à la cour d'Annam. Le Thaï-y-Viên ou service de santé du palais.,1906,Annam,,,,,
Géographie médicale. Notes sur Zinder.,1906,Zinder,,,,Géographie médicale,
"Maladies endémiques, épidémiques et contagieuses qui ont régné dans les colonies françaises en 1904.",1906,,,,,,
Service de la vaccine en 1904 dans les établissements français de l'Inde.,1906,Inde,,Service de la vaccine,,,
Notes sur les moustiques à Phu-Lang-Thuong.,1906,Phu-Lang-Thuong,,,,,
Nouveau procédé chimique de purification totale et rapide des eaux destinées à l'alimentation.,1906,,,,,,
Recherche et dosage du plomb dans les eaux potables.,1906,,,,,,
Le paludisme à Laokay (Tonkin).,1906,"Laokay,Tonkin",,,paludisme,,
La ligue contre le paludisme en Corse.,1906,Corse,,,paludisme,,
Le traitement préventif de la rage à Tananarive pendant l'année 1905.,1906,Tananarive,,,rage,,
Le lait des vaches du Tonkin.,1906,Tonkin,,,,,
Méthode à l'extrait floconneux dans l'analyse chimique du lait de vache.,1906,,,,,,
Clinique d'Outre-Mer. Mycose de la jambe due au Streptothrix Madurae (Vincent).,1906,,,,Mycose,,
Au sujet d'une piqûre de serpent.,1906,,,,piqûre de serpent,,
Paludisme et quinine préventive,1906,,,,Paludisme,,quinine
Clinique d'Outre-Mer. Epulis de la mâchoire inférieure chez une Annamite.,1906,Annamite,,,,,
Notes sur l'agent infectieux pathogène du farcin du boeuf à la Guadeloupe.,1906,Guadeloupe,,,,,
Note sur un cas d'anévrisme diffus de l'avant-bras.,1906,,,,anévrisme,,
Géographie médicale. Nhatrang.,1906,,,,,Géographie médicale,
Notes sur le béribéri au Tonkin.,1906,Tonkin,,,béribéri,,
Rapport annuel sur le service antirabique au Tonkin en 1904.,1906,Tonkin,,,,,
Fonctionnement du service de la vaccine au Tonkin.,1906,Tonkin,,,vaccine,,
"Campagne antipaludique à Conakry, en 1905.",1906,Conakry,,,,,
Analyse de quelques eaux du Pet-Chi-Li.,1906,,,,Pet-Chi-Li,,
Mycétome à grains rouges observé à Saint-Louis (Sénégal).,1906,"Saint-Louis,Sénégal",,,,,
Contribution à la répartition des culicides en Indo-Chine.,1906,Indo-Chine,,,,,culicides
Sur la fréquence et le rôle étiologique de l'Uncinaria americana dans le béribéri.,1906,,,,béribéri,,
Calcul vésical (taille sus-pubienne).,1906,,,,,,
Abcès du foie d'origine parasitaire.,1906,,,,Abcès du foie,,
Au sujet des injections hypodermiques de quinine.,1906,,,,,,
Rapport d'ensemble sur l'épidémie de peste de Nouméa.,1906,Nouméa,,,peste,,
Fièvre typhoïde au Tonkin (Extrait du Rapport mensuel du mois de janvier 1906.),1906,Tonkin,,,Fièvre typhoïde,,
Variétés. Organisation médicale et sanitaire de l'île Maurice.,1906,île,,,,,
Handbuch der Tropenkrankheiten.,1906,,,,,,Handbuch
Géographie médicale. Notes sur la région du Macina.,1907,,,,,Géographie médicale,
L'assistance médicale en Indo-Chine.,1907,Indo-Chine,,,,,
"Boutons du Nil ou boutons d'Orient, observation recueillie.",1907,,,,"Boutons du Nil,boutons d'Orient",,
Épidémie de peste à Chandernagor en 1905.,1907,Chandernagor,,,peste,,
"Épidémie de variole observée à Vinh (Annam) en décembre 1904, janvier et février 1905 (Desiderata prophylactiques).",1907,"Vinh,Annam",,,variole,,
Rapport annuel sur les services d'hygiène du 2e arrondissement du Sénégal en 1905.,1907,Sénégal,,,,,
Notes sur une épidémie de typho-malaria qui a sévi au Bras-de-Pontho (Île de La Réunion).,1907,"Bras-de-Pontho,Réunion",,,malaria,,typho
Analyse de l'eau du Yang-Tsé et du fleuve jaune.,1907,,Yang-Tsé,,,,
Instructions données à la mission d'études française qui se rend au Congo en vue d'étudier la maladie du sommeil. I. Organisation de la mission,1907,Congo,,,maladie du sommeil,,
État sanitaire et maladies observées à la Côte-d'Ivoire pendant l'année 1905.,1907,Côte-d'Ivoire,,,,,
Note sur le paludisme dans nos établissements de l'Inde.,1907,Inde,,,paludisme,,
Clinique d'Outre-mer. Sur un cas de fièvre jaune (avec vomissements noirs et hémorragies passives gingivales) suivi de guérison ; injections de caféine à fortes doses.,1907,,,,fièvre jaune,,
Tumeur provoquée par un microcoque rose en zooglées.,1907,,,,,,
Variétés. La législation italienne contre la malaria et la lutte contre le paludisme dans nos colonies.,1907,,,,"malaria,paludisme",,
Géographie médicale. Les Nouvelles-Hébrides.,1907,,,,,Géographie médicale,
Notes sur le climat de Quang-Tchéou-Wan (Chine méridionale).,1907,,,,,,
"La grossesse, l'accouchement et le nouveau-né chez les Annamites à Hué.",1907,"Annamites,Hué",,,,,
Contribution à l'étude de la numération des microbes aérobies et anaérobies. – Travail effectué dans les laboratoires d'hygiène de l'Institut Pasteur de Lille.,1907,,,Institut Pasteur de Lille,,,
La thérapeutique actuelle de la trypanosomiase humaine.,1907,,,,trypanosomiase humaine,,
Campagne antivariolique et propagation de la vaccine en 1905 en Afrique occidentale française.,1907,Afrique occidentale française,,,vaccine,,
Quinine préventive et paludisme.,1907,,,,paludisme,Quinine,
Considérations étiologiques sur l'hémoglobinurie des paludéens.,1907,,,,,,
"Notes succinctes sur le paludisme, à Mongtzeu (Yunnam) (extrait du rapport annuel pour 1905).",1907,"Mongtzeu,Yunnam",,,paludisme,,
"Maladies endémiques, épidémiques et contagieuses qui ont régné dans les colonies françaises en 1905.",1907,,,,,,
Variétés. Notes sur le service de santé dans les colonies Allemandes.,1907,,,,,,
Géographie médicale. Saint-Philippe (Île de la Réunion).,1907,"Saint-Philippe,Réunion",,,,Géographie médicale,
"La maladie du sommeil au Sénégal, trois cas traités. Guérison probable dans un cas. Par M. le Dr Thiroux et",1907,Sénégal,,,maladie du sommeil,,
Lazarets des colonies françaises.,1907,,,,,,
Sur le phytostérol du soja. Par M. T. Klobb et,1907,,,,,,
Épidémie de filariose observée à Tombouctou.,1907,Tombouctou,,,filariose,,
L'meurreu de Tidjikdja (Mauritanie) (urticaire d'origine filarienne).,1907,"Tidjikdja,Mauritanie",,,L'meurreu,,
Variole et vaccine au Laos de 1895 à 1906.,1907,Laos,,,"Variole,vaccine",,
Résumé de la statistique médicale des troupes stationnées aux colonies pendant l'année 1905.,1907,,,,,,
Assainissement de la ville de Rufisque (Sénégal).,1907,"Rufisque,Sénégal",,,,,
Empoisonnement par le faux anis étoilé.,1907,,,,,,
Le béribéri d'après les travaux parus en 1906.,1907,,,,béribéri,,
"Rapport médical sur l'application du programme d'organisation ouvrière aux chantiers de la ligne de Yen-Bay à Lao-Kay, Tonkin (1er octobre 1994 – 1er octobre 1905).",1907,"Yen-Bay,Lao-Kay,Tonkin",,,,,
"Épidémie de fièvre jaune qui a sévi au Dahomey et au Togo en avril, mai et juin 1906",1907,"Dahomey,Togo",,,fièvre jaune,,
Trois cas d'hépatite suppurée avec cholerragie post-opératoire.,1907,,,,hépatite suppurée,,
Contribution à l'hématologie de l'abcès tropical du foie et de la congestion hépatique.,1907,,,,abcès tropical,,
Géographie médicale. Notes sur le Binh-Thuan (Annam) et les débuts de l'assistance médicale indigène dans cette province.,1907,Annam,Binh-Thuan,assistance médicale indigène,,Géographie médicale,
Historique et pratique de la vaccine en Chine.,1907,Chine,,,vaccine,,
Fonctionnement du laboratoire de Saint-Denis (Réunion) de 1903 à 1906.,1907,"Réunion,Saint-Denis",,laboratoire de Saint-Denis,,,
Lazarets des colonies françaises (Suite et fin).,1907,,,,,,
Le trypanosoma dimorphon et son rôle dans les maladies des animaux de la côte d'Ivoire. – Répartition des mouches tsé-tsé. – Transmission du T. Dimorphon par Glossina palpalis.,1907,côte d'Ivoire,,,,,trypanosoma dimorphon
Mesures d'hygiène et de prophylaxie prises à la suite de l'inondation de la ville de Kayes (Haut Sénégal-Niger).,1907,"Kayes,Niger",,,,,
Intervention chirurgicale. Suture osseuse de l'humérus pratiquée le 25 décembre 1906 à l'hôpital Ballay de Conakry (Guinée française). Par M. le Dr Mas et,1907,"Conakry,Guinée française",,,,,
Vagabondage impulsif.,1907,,,,,,
Notes cliniques sur un cas de faux atriplicisme.,1907,,,,,,
Étude d'hygiène chinoise. – L'habitation.,1907,,,,,chinoise,
Contribution à l'hématologie de la fièvre bilieuse hémoglobinurique.,1907,,,,fièvre bilieuse hémoglobinurique,,
Variétés. Procédé nouveau pour la destruction des larves de moustiques.,1907,,,,,,
Géographie médicale. Le poste médical de Tchentou (Chine).,1908,"Tchentou,Chine",,,,Géographie médicale,
La maladie du sommeil dans le Haut-Sénégal et Niger.,1908,"Haut-Sénégal,Niger",,,maladie du sommeil,,
"La surveillance de la natalité indigène. De la prophylaxie du tétanos ombilical à Saïgon (Cochinchine), 1905, 1906, 1907.",1908,"Saïgon,Cochinchine",,,tétanos,,
"Le soja. Sa culture, sa composition, son emploi en médecine et dans l'alimentation.",1908,,,,,,
Rapport sur les épidémies de fièvre récurrente au Tonkin.,1908,Tonkin,,,fièvre,,
Vaccinations au chemin de fer du Dahomey.,1908,Dahomey,,,,,
Le diagnostic précoce de la tuberculose par l'ophtalmo-réaction à la tuberculine.,1908,,,,tuberculose,,ophtalmo
Géographie médicale. Rapport sur le fonctionnement du poste médical consulaire de Canton pendant l'année 1906.,1908,Canton,,,,Géographie médicale,
"La grossesse, l'accouchement et l'avortement au Tagant et à Tidjikdja (Mauritanie) ; moeurs et coutumes.",1908,"Tagant,Tidjikdja,Mauritanie",,,,"mœurs,coutumes",
Épidémie de peste à Majunga en 1907.,1908,Majunga,,,peste,,
La peste en Cochinchine.,1908,Cochinchine,,,peste,,
Fonctionnement de l'institut vaccinogène du Tonkin. Extraits des rapports,1908,Tonkin,,Institut vaccinogène,,,
Clinique d'Outre-Mer. Traitement de la syphilis dans les régions tropicales par injections sous-cutanées d'hermophényl.,1908,,,,syphilis,,hermophényl
Variétés. Une curieuse épidémie observée à Tchentou.,1908,Tchentou,,,,,
"Variétés. Étude sur les superstitions, croyances et pratiques médicales populaires de la Guadeloupe, (Extraits).",1908,Guadeloupe,,,,,
Les injections hypodermiques de chlorhydrate de quinine et d'uréthane.,1908,,,,,,uréthane
"Variétés. La peste en Algérie en 1907. Recherches particulières sur les rats, leurs ectoparasites et leurs rapports avec l'épidémie dans le département de Constantine (extraits).",1908,"Algérie,Constantine",,,peste,,
"Le cancer (prophylaxie, étiologie, traitement).",1908,,,,cancer,,
Traité de l'alimentation et de la nutrition à l'état normal et pathologique.,1908,,,,,,
La vaccine dans le Haut-Sénégal et Niger.,1908,"Haut-Sénégal,Niger",,,vaccine,,
"Maladies endémiques, épidémiques et contagieuses qui ont régné dans les colonies françaises en 1906.",1908,,,,,,
Étude clinique sur la trypanosomiase humaine (maladie du sommeil).,1908,,,,"trypanosomiase humaine,maladie du sommeil",,
Épidémie de peste à Majunga en 1907 (suite et fin).,1908,Majunga,,,peste,,
Quelques recherches sur la lèpre.,1908,,,,lèpre,,
Moustiques et paludisme à Tchentou (Chine).,1908,"Tchentou,Chine",,,paludisme,,
Clinique d'Outre-Mer. Note sur une petite épidémie localisée de peste observée à Nhatrang (Annam).,1908,"Nhatrang,Annam",,,peste,,
Observation sur un énorme molluscum pendulum du sein gauche opéré à l'hôpital de Pak-Hoï (Chine du sud).,1908,"Pak-Hoï,Chine",,hôpital ,,,
Empoisonnements criminels par le datura au bagne de la Nouvelle-Calédonie.,1908,Nouvelle-Calédonie,,,,,
Calculs préputiaux avec altération profonde de l'état général.,1908,,,,,,
Institut Pasteur de Hanoï. Statistique du service antirabique pour l'année 1907.,1908,Hanoï,,Institut Pasteur,,,
"Variétés. Étude sur les superstitions, croyances et pratiques médicales populaires de la Guadeloupe (Extraits, suite).",1908,Guadeloupe,,,,,
Vaccine et vaccination au Tchad. Secteur médical de Bokoro (27 février-28 novembre 1907).,1908,"Tchad,Bokoro",,,Vaccine,,
Notes médicales sur l'Oubanghi-Chari-Tchad.,1908,Oubanghi-Chari-Tchad,,,,,
"Baguio, station d'altitude des Philippines.",1908,Philippines,,,,,
Essai sur la dysenterie amoebienne de Cochinchine.,1908,Cochinchine,,,dysenterie amoebienne,,
La dengue en Indo-Chine. Épidémie à bord de La Manche en 1907. ,1908,Indo-Chine,,,dengue,,
Les trypanosomiases de la Haute Côte d'Ivoire.,1908,Haute Côte d’Ivoire,,,trypanosomiases,,
Ce qu'il faut penser des procédés de stérilisation de l'eau par le permanganate de potasse. Par M. Ferraud et,1908,,,,,,permanganate de potasse
Rapport sur le traitement antirabique à l'Institut Pasteur de Tananarive pendant l'année 1906.,1908,Tananarive,,Institut Pasteur,,,
L'Atoxyl dans le traitement de la syphilis en Afrique occidentale.,1908,Afrique occidentale,,,syphilis,,
Analyse d'un calcul vésical à noyau formé par un limbe de monocotylédone.,1908,,,,,,
La peste en Indo-Chine (historique.).,1908,Indo-Chine,,,peste,,
