,Administration,NAME,Type,titre
3637,Vietnam,Con Son,Île ,Con SonÎle (Vietnam)
3638,"Saint-Martin, Île",Cool Bay ,,Cool Bay (Saint-MartinÎle)
3639,Ghana,Coomassie ,,Coomassie (Ghana)
3640,"Jérémie ; Saint-Domingue, Île de",Corail ,,Corail (Jérémie ; Saint-DomingueÎle de)
3641,Essonne ; France,Corbeil-Essonnes ,,Corbeil-Essonnes (Essonne ; France)
3642,Pyrénées-Atlantiques ; France,Corbère-Abères ,,Corbère-Abères (Pyrénées-Atlantiques ; France)
3643,Pyrénées-Orientales ; France,Corbère-les-Cabanes ,,Corbère-les-Cabanes (Pyrénées-Orientales ; France)
3644,Pyrénées-Orientales ; France,Corbère ,,Corbère (Pyrénées-Orientales ; France)
3645,Essonne ; France,Corbreuse ,,Corbreuse (Essonne ; France)
3646,Inde,Corcadou ,,Corcadou (Inde)
3647,Ain ; France,Corcelles ,,Corcelles (Ain ; France)
3648,Aisne ; France,Corcy ,,Corcy (Aisne ; France)
3649,Tarn ; France,Cordes-sur-Ciel ,,Cordes-sur-Ciel (Tarn ; France)
3650,Espagne,Córdoba ,,Córdoba (Espagne)
3651,Espagne,Cordoue ,,Cordoue (Espagne)
3652,,Corée',,Corée
3653,,Corée du Sud',,Corée du Sud
3654,,Corée,République de',CoréeRépublique de
3655,Grèce,Corfou,Île de ,CorfouÎle de (Grèce)
3656,Gabon/Guinée équatoriale,Corisco,Baie de ,CoriscoBaie de (Gabon/Guinée équatoriale)
3657,Guinée équatoriale,Corisco,Île ,CoriscoÎle (Guinée équatoriale)
3658,Irlande,Cork ,,Cork (Irlande)
3659,Marne ; France,Cormicy ,,Cormicy (Marne ; France)
3660,Algérie,Corneille ,,Corneille (Algérie)
3661,Algérie,Corneille,Arrondissement ,CorneilleArrondissement (Algérie)
3662,"Saint-Domingue, Île de",Cornets,Cours d\'eau ,CornetsCours d\eau (Saint-DomingueÎle de)
3663,Mississippi ; États-Unis,Corne,Île à ,CorneÎle à (Mississippi ; États-Unis)
3664,Vosges ; France,Cornimont ,,Cornimont (Vosges ; France)
3665,France,Cornouaille,Région géographique ,CornouailleRégion géographique (France)
3666,Cher ; France,Cornusse ,,Cornusse (Cher ; France)
3667,Moselle ; France,Corny-sur-Moselle ,,Corny-sur-Moselle (Moselle ; France)
3668,Inde,Coromandel,Côte de ,CoromandelCôte de (Inde)
3669,"Saint-Barthélemy, Île",Corossol ,,Corossol (Saint-BarthélemyÎle)
3670,Venezuela,Coro ,,Coro (Venezuela)
3671,Ille-et-Vilaine ; France,Corps-Nuds ,,Corps-Nuds (Ille-et-Vilaine ; France)
3672,"Vieux-Habitants ; Guadeloupe, Île de la",Corps de Garde,Ravine du ,Corps de GardeRavine du (Vieux-Habitants ; GuadeloupeÎle de la)
3673,Isère ; France,Corps ,,Corps (Isère ; France)
3674,Var ; France,Correns ,,Correns (Var ; France)
3675,Guinée,Corréra,Région géographique ,CorréraRégion géographique (Guinée)
3676,France,Corrèze,Département ,CorrèzeDépartement (France)
3677,"Saint-Barthélemy, Île",Corrosol ,,Corrosol (Saint-BarthélemyÎle)
3678,Pyrénées-Orientales ; France,Corsavy ,,Corsavy (Pyrénées-Orientales ; France)
3679,France,Corse-du-Sud,Département ,Corse-du-SudDépartement (France)
3680,Côtes-d\'Armor ; France,Corseul ,,Corseul (Côtes-d\Armor ; France)
3681,France,Corse,Département ,CorseDépartement (France)
3682,,Corse,Île de la',CorseÎle de la
3683,Algérie,Corso Tahtani ,,Corso Tahtani (Algérie)
3684,Algérie,Corso,Cours d\'eau ,CorsoCours d\eau (Algérie)
3685,Saône-et-Loire ; France,Cortevaix ,,Cortevaix (Saône-et-Loire ; France)
3686,Haute-Corse ; France,Corte ,,Corte (Haute-Corse ; France)
3687,Nièvre ; France,Cosne-sur-Loire ,,Cosne-sur-Loire (Nièvre ; France)
3688,Côte d\'Ivoire,Cosroë,Région géographique ,CosroëRégion géographique (Côte d\Ivoire)
3689,Inde,Cossimbazar ,,Cossimbazar (Inde)
3690,"Pointe-à-Pitre ; Guadeloupe, Île de la",Cosson,Îlet à ,CossonÎlet à (Pointe-à-Pitre ; GuadeloupeÎle de la)
3691,Bas-Rhin ; France,Cosswiller ,,Cosswiller (Bas-Rhin ; France)
3692,,Costa Rica',,Costa Rica
3693,Inde,Cotchery ,,Cotchery (Inde)
3694,Canada,Côte-de-Beauport,Seigneurie ,Côte-de-BeauportSeigneurie (Canada)
3695,Canada,Côte-de-Beaupré,Seigneurie ,Côte-de-BeaupréSeigneurie (Canada)
3696,Canada,Côte-de-Lauzon,Seigneurie ,Côte-de-LauzonSeigneurie (Canada)
3697,France,Côte-d\'Or,Département ,Côte-d\OrDépartement (France)
3698,République du Congo,Côte-Matève ,,Côte-Matève (République du Congo)
3699,France,Côtes-du-Nord,Département ,Côtes-du-NordDépartement (France)
3700,France,Côtes-d\'Armor,Département ,Côtes-d\ArmorDépartement (France)
3701,Louisiane ; États-Unis,Côte des Allemands,Lieu-dit ,Côte des AllemandsLieu-dit (Louisiane ; États-Unis)
3702,Afrique,Côte des Esclaves,Région géographique ,Côte des EsclavesRégion géographique (Afrique)
3703,Liberia,Côte des Graines,Région géographique ,Côte des GrainesRégion géographique (Liberia)
3704,Canada,Côte de Beaupré ,,Côte de Beaupré (Canada)
3705,Afrique,Côte de l\'Or,Région géographique ,Côte de l\OrRégion géographique (Afrique)
3706,Canada,Côte du Labrador,Région géographique ,Côte du LabradorRégion géographique (Canada)
3707,Canada,Côte du Sud,Région géographique ,Côte du SudRégion géographique (Canada)
3708,Amérique,Côte d\'Espagne,Région géographique ,Côte d\EspagneRégion géographique (Amérique)
3709,,Côte d\'Ivoire',,Côte d\Ivoire
3710,Afrique,Côte d\'Or,Établissements ,Côte d\OrÉtablissements (Afrique)
3711,Amérique du Sud,Côte Ferme,Région géographique ,Côte FermeRégion géographique (Amérique du Sud)
3712,,Côte française des Somalis',,Côte française des Somalis
3713,Canada,Côte Saint-François-Xavier,Lieu-dit ,Côte Saint-François-XavierLieu-dit (Canada)
3714,Canada,Côte Saint-Ignace,Lieu-dit ,Côte Saint-IgnaceLieu-dit (Canada)
3715,Canada,Côte Saint-Michel,Lieu-dit ,Côte Saint-MichelLieu-dit (Canada)
3716,Canada,Côte Sainte-Geneviève,Lieu-dit ,Côte Sainte-GenevièveLieu-dit (Canada)
3717,Sénégal,Cotiari Naoudé ,,Cotiari Naoudé (Sénégal)
3718,Var ; France,Cotignac ,,Cotignac (Var ; France)
3719,Bénin,Cotonou/Parakou,Voie ferrée ,Cotonou/ParakouVoie ferrée (Bénin)
3720,Bénin,Cotonou/Porto-Novo,Route ,Cotonou/Porto-NovoRoute (Bénin)
3721,Bénin,Cotonou/Porto-Novo,Voie ferrée ,Cotonou/Porto-NovoVoie ferrée (Bénin)
3722,Bénin,Cotonou/Savé,Voie ferrée ,Cotonou/SavéVoie ferrée (Bénin)
3723,Bénin,Cotonou ,,Cotonou (Bénin)
3724,Bénin,Cotonou,Cercle ,CotonouCercle (Bénin)
3725,"Saint-Domingue, Île de",Cotteaux ,,Cotteaux (Saint-DomingueÎle de)
3726,Côte d\'Ivoire,Cottocrou ,,Cottocrou (Côte d\Ivoire)
3727,Canada,Coucous,Île des ,CoucousÎle des (Canada)
3728,Algérie,Coudiat Menna ,,Coudiat Menna (Algérie)
3729,Eure-et-Loir ; France,Coudreceau ,,Coudreceau (Eure-et-Loir ; France)
3730,Mississippi ; États-Unis,Couëchitto ,,Couëchitto (Mississippi ; États-Unis)
3731,Loire-Atlantique ; France,Couëron ,,Couëron (Loire-Atlantique ; France)
3732,France,Couesnon,Cours d\'eau ,CouesnonCours d\eau (France)
3733,Vienne ; France,Couhé ,,Couhé (Vienne ; France)
3734,"Deshaies ; Guadeloupe, Île de la",Couleuvre,Ravine ,CouleuvreRavine (Deshaies ; GuadeloupeÎle de la)
3735,Algérie,Coulmiers ,,Coulmiers (Algérie)
3736,Eure-et-Loir ; France,Coulombs ,,Coulombs (Eure-et-Loir ; France)
3737,Loir-et-Cher ; France,Coulommiers-la-Tour ,,Coulommiers-la-Tour (Loir-et-Cher ; France)
3738,Seine-et-Marne ; France,Coulommiers ,,Coulommiers (Seine-et-Marne ; France)
3739,Deux-Sèvres ; France,Coulonges-sur-l\'Autize ,,Coulonges-sur-l\Autize (Deux-Sèvres ; France)
3740,Ille-et-Vilaine ; France,Coulon ,,Coulon (Ille-et-Vilaine ; France)
3741,Guyane française,Counamama,Cours d\'eau ,CounamamaCours d\eau (Guyane française)
3742,Guyane française,Counamama ,,Counamama (Guyane française)
3743,Algérie,Courbet ,,Courbet (Algérie)
3744,Hauts-de-Seine ; France,Courbevoie ,,Courbevoie (Hauts-de-Seine ; France)
3745,Alpes-de-Haute-Provence ; France,Courchons ,,Courchons (Alpes-de-Haute-Provence ; France)
3746,Sarthe ; France,Courgains ,,Courgains (Sarthe ; France)
3747,Brésil,Couripi,Cours d\'eau ,CouripiCours d\eau (Brésil)
3748,Brésil,Couripi,Poste ,CouripiPoste (Brésil)
3749,Lettonie,Courlande,Région géographique ,CourlandeRégion géographique (Lettonie)
3750,Puy-de-Dôme ; France,Cournon-d\'Auvergne ,,Cournon-d\Auvergne (Puy-de-Dôme ; France)
3751,Hérault ; France,Cournonterral ,,Cournonterral (Hérault ; France)
3752,Guyane française,Courouaïe,Cours d\'eau ,CourouaïeCours d\eau (Guyane française)
3753,Guyane française,Courouaye,Cours d\'eau ,CourouayeCours d\eau (Guyane française)
3754,,Courpalais',,Courpalais
3755,Seine-et-Marne ; France,Courpalay ,,Courpalay (Seine-et-Marne ; France)
3756,Gironde ; France,Courpiac ,,Courpiac (Gironde ; France)
3757,Calvados ; France,Courseulles-sur-Mer ,,Courseulles-sur-Mer (Calvados ; France)
3758,Alençon ; Orne ; France,Courteille ,,Courteille (Alençon ; Orne ; France)
3759,Loiret ; France,Courtenay ,,Courtenay (Loiret ; France)
3760,Seine-et-Marne ; France,Courtomer ,,Courtomer (Seine-et-Marne ; France)
3761,Belgique,Courtrai ,,Courtrai (Belgique)
3762,Seine-et-Marne ; France,Courtry ,,Courtry (Seine-et-Marne ; France)
3763,Doubs ; France,Courvières ,,Courvières (Doubs ; France)
3764,Eure-et-Loir ; France,Courville-sur-Eure ,,Courville-sur-Eure (Eure-et-Loir ; France)
3765,Jura ; France,Cousance ,,Cousance (Jura ; France)
3766,France,Couserans,Région géographique ,CouseransRégion géographique (France)
3767,Manche ; France,Coutances ,,Coutances (Manche ; France)
3768,Sénégal,Couténabé ,,Couténabé (Sénégal)
3769,Orne ; France,Couterne ,,Couterne (Orne ; France)
3770,Gironde ; France,Coutras ,,Coutras (Gironde ; France)
3771,Deux-Sèvres ; France,Couture-d\'Argenson ,,Couture-d\Argenson (Deux-Sèvres ; France)
3772,"Nouvelle-Calédonie, Île de la",Couvelée,Cours d\'eau ,CouveléeCours d\eau (Nouvelle-CalédonieÎle de la)
3773,Charente-Maritime ; France,Coux ,,Coux (Charente-Maritime ; France)
3774,Haute-Garonne ; France,Cox ,,Cox (Haute-Garonne ; France)
3775,Guinée,Coyah/Tabili,Route ,Coyah/TabiliRoute (Guinée)
3776,Guinée,Coyah ,,Coyah (Guinée)
3777,Vietnam,Co Am ,,Co Am (Vietnam)
3778,Vietnam,Co Dinh ,,Co Dinh (Vietnam)
3779,Vietnam,Co Luy ,,Co Luy (Vietnam)
3780,Vietnam,Co Tung ,,Co Tung (Vietnam)
3781,Morbihan ; France,Crach ,,Crach (Morbihan ; France)
3782,Pologne,Cracovie ,,Cracovie (Pologne)
3783,Guinée,Craffort,Île de ,CraffortÎle de (Guinée)
3784,Aisne ; France,Craonnelle ,,Craonnelle (Aisne ; France)
3785,Mayenne ; France,Craon ,,Craon (Mayenne ; France)
3786,Guinée,Crawford,Île ,CrawfordÎle (Guinée)
3787,Injoux-Génissiat ; Ain ; France,Craz ,,Craz (Injoux-Génissiat ; Ain ; France)
3788,Côte-d\'Or ; France,Créancey ,,Créancey (Côte-d\Or ; France)
3789,Sarthe ; France,Créans ,,Créans (Sarthe ; France)
3790,Saône-et-Loire ; France,Crêches-sur-Saône ,,Crêches-sur-Saône (Saône-et-Loire ; France)
3791,Aisne ; France,Crécy-au-Mont ,,Crécy-au-Mont (Aisne ; France)
3792,Eure-et-Loir ; France,Crécy-Couvé ,,Crécy-Couvé (Eure-et-Loir ; France)
3793,,Crécy-en-Brie',,Crécy-en-Brie
3794,Somme ; France,Crécy-en-Ponthieu ,,Crécy-en-Ponthieu (Somme ; France)
3795,Seine-et-Marne ; France,Crécy-la-Chapelle ,,Crécy-la-Chapelle (Seine-et-Marne ; France)
3796,Aisne ; France,Crécy-sur-Serre ,,Crécy-sur-Serre (Aisne ; France)
3797,Meurthe-et-Moselle ; France,Crépey ,,Crépey (Meurthe-et-Moselle ; France)
3798,Calvados ; France,Crépon ,,Crépon (Calvados ; France)
3799,Oise ; France,Crépy-en-Valois ,,Crépy-en-Valois (Oise ; France)
3800,Pas-de-Calais ; France,Crépy ,,Crépy (Pas-de-Calais ; France)
3801,Pas-de-Calais ; France,Créquy ,,Créquy (Pas-de-Calais ; France)
3802,Algérie,Crescia ,,Crescia (Algérie)
3803,Charente-Maritime ; France,Cressé ,,Cressé (Charente-Maritime ; France)
3804,Drôme ; France,Crest ,,Crest (Drôme ; France)
3805,Val-de-Marne ; France,Créteil ,,Créteil (Val-de-Marne ; France)
3806,,Crète,Île de',CrèteÎle de
3807,France,Creuse,Département ,CreuseDépartement (France)
3808,"Nouvelle-Calédonie, Île de la",Crève-Coeur,Col de ,Crève-CoeurCol de (Nouvelle-CalédonieÎle de la)
3809,Ukraine,Crimée,Région géographique ,CriméeRégion géographique (Ukraine)
3810,Guyane française,Crique-Anguille,Camp ,Crique-AnguilleCamp (Guyane française)
3811,Guyane française,Crique-Jacques,Camp ,Crique-JacquesCamp (Guyane française)
3812,Guyane française,Crique Calebasse,Cours d\'eau ,Crique CalebasseCours d\eau (Guyane française)
3813,Guyane française,Crique Canard,Cours d\'eau ,Crique CanardCours d\eau (Guyane française)
3814,Guyane française,Crique Galibi,Cours d\'eau ,Crique GalibiCours d\eau (Guyane française)
3815,Guyane française,Crique Martineau,Cours d\'eau ,Crique MartineauCours d\eau (Guyane française)
3816,Gabon,Crique Massotié,Cours d\'eau ,Crique MassotiéCours d\eau (Gabon)
3817,Guyane française,Crique Mataroni,Cours d\'eau ,Crique MataroniCours d\eau (Guyane française)
3818,Guyane française,Crique Orapu,Cours d\'eau ,Crique OrapuCours d\eau (Guyane française)
3819,Guyane française,Crique Timouthou,Cours d\'eau ,Crique TimouthouCours d\eau (Guyane française)
3820,Guyane française,Crique Tourlouri,Cours d\'eau ,Crique TourlouriCours d\eau (Guyane française)
3821,Gabon,Crique Tsini,Cours d\'eau ,Crique TsiniCours d\eau (Gabon)
3822,,Croatie',,Croatie
3823,Seine-et-Marne ; France,Croissy-Beaubourg ,,Croissy-Beaubourg (Seine-et-Marne ; France)
3824,Oise ; France,Croissy-sur-Celle ,,Croissy-sur-Celle (Oise ; France)
3825,Yvelines ; France,Croissy-sur-Seine ,,Croissy-sur-Seine (Yvelines ; France)
3826,"Saint-Domingue, Île de",Croix-des-Bouquets ,,Croix-des-Bouquets (Saint-DomingueÎle de)
3827,Nord ; France,Croix ,,Croix (Nord ; France)
3828,"Bahamas, Archipel des",Crooked,Île ,CrookedÎle (BahamasArchipel des)
3829,Canada,Cross Island ,,Cross Island (Canada)
3830,Hautes-Alpes ; France,Crots ,,Crots (Hautes-Alpes ; France)
3831,Calvados ; France,Crouay ,,Crouay (Calvados ; France)
3832,Indre ; France,Crozon-sur-Vauvre ,,Crozon-sur-Vauvre (Indre ; France)
3833,Finistère ; France,Crozon ,,Crozon (Finistère ; France)
3834,Aveyron ; France,Cruéjouls ,,Cruéjouls (Aveyron ; France)
3835,Vietnam,Cua Cam,Cours d\'eau ,Cua CamCours d\eau (Vietnam)
3836,Vietnam,Cua Nam Trieu,Cours d\'eau ,Cua Nam TrieuCours d\eau (Vietnam)
3837,Vietnam,Cua Rao ,,Cua Rao (Vietnam)
3838,,Cuba',,Cuba
3839,Antilles,Cuba,Île de ,CubaÎle de (Antilles)
3840,Dordogne ; France,Cubjac ,,Cubjac (Dordogne ; France)
3841,Doubs ; France,Cubrial ,,Cubrial (Doubs ; France)
3842,Vaucluse ; France,Cucuron ,,Cucuron (Vaucluse ; France)
3843,Inde,Cuddalore/Pondichéry,Voie ferrée ,Cuddalore/PondichéryVoie ferrée (Inde)
3844,Inde,Cuddalore ,,Cuddalore (Inde)
3845,Var ; France,Cuers ,,Cuers (Var ; France)
3846,Aisne ; France,Cuirieux ,,Cuirieux (Aisne ; France)
3847,Saône-et-Loire ; France,Cuisery ,,Cuisery (Saône-et-Loire ; France)
3848,"Martinique, Île de la",Cul-de-Sac-à-Vache ,,Cul-de-Sac-à-Vache (MartiniqueÎle de la)
3849,"Martinique, Île de la",Cul-de-Sac-aux-Vaches ,,Cul-de-Sac-aux-Vaches (MartiniqueÎle de la)
3850,"Martinique, Île de la",Cul-de-Sac-de-La-Trinité ,,Cul-de-Sac-de-La-Trinité (MartiniqueÎle de la)
3851,"Martinique, Île de la",Cul-de-Sac-du-François ,,Cul-de-Sac-du-François (MartiniqueÎle de la)
3852,"Martinique, Île de la",Cul-de-Sac-Français ,,Cul-de-Sac-Français (MartiniqueÎle de la)
3853,"Martinique, Île de la",Cul-de-Sac-Marin ,,Cul-de-Sac-Marin (MartiniqueÎle de la)
3854,"Martinique, Île de la",Cul-de-Sac-Robert ,,Cul-de-Sac-Robert (MartiniqueÎle de la)
3855,"Le François ; Martinique, Île de la",Cul-de-Sac-Simon ,,Cul-de-Sac-Simon (Le François ; MartiniqueÎle de la)
3856,"Sainte-Rose ; Guadeloupe, Île de la",Cul-de-Sacq,Fort ,Cul-de-SacqFort (Sainte-Rose ; GuadeloupeÎle de la)
3857,"Guadeloupe, Île de la",Cul-de-Sacq ,,Cul-de-Sacq (GuadeloupeÎle de la)
3858,"Guadeloupe, Île de la",Cul-de-Sac ,,Cul-de-Sac (GuadeloupeÎle de la)
3859,"Saint-Domingue, Île de",Cul-de-Sac,Plaine du ,Cul-de-SacPlaine du (Saint-DomingueÎle de)
3860,"Saint-Domingue, Île de",Cul-de-Sac ,,Cul-de-Sac (Saint-DomingueÎle de)
3861,"Martinique, Île de la",Cul de Sac de La Trinité,Baie du ,Cul de Sac de La TrinitéBaie du (MartiniqueÎle de la)
3862,"Martinique, Île de la",Cul de Sac du Marin,Baie du ,Cul de Sac du MarinBaie du (MartiniqueÎle de la)
3863,"Martinique, Île de la",Cul de Sac Marin,Baie du ,Cul de Sac MarinBaie du (MartiniqueÎle de la)
3864,"Fort-de-France ; Martinique, Île de la",Cul de Sac Royal,Baie du ,Cul de Sac RoyalBaie du (Fort-de-France ; MartiniqueÎle de la)
3865,"Saint-Martin, Île",Cul de Sac,Baie du ,Cul de SacBaie du (Saint-MartinÎle)
3866,Venezuela,Cumana,Province ,CumanaProvince (Venezuela)
3867,Venezuela,Cumana ,,Cumana (Venezuela)
3868,Brésil,Cunani ,,Cunani (Brésil)
3869,Italie,Cuneo ,,Cuneo (Italie)
3870,Marne ; France,Cuperly ,,Cuperly (Marne ; France)
3871,Antilles,Curaçao,Île ,CuraçaoÎle (Antilles)
3872,Somme ; France,Curchy ,,Curchy (Somme ; France)
3873,Brésil,Curipi ,,Curipi (Brésil)
3874,Brésil,Curipi,Cours d\'eau ,CuripiCours d\eau (Brésil)
3875,Brésil,Curupa ,,Curupa (Brésil)
3876,Oise ; France,Cuvilly ,,Cuvilly (Oise ; France)
3877,Lot-et-Garonne ; France,Cuzorn ,,Cuzorn (Lot-et-Garonne ; France)
3878,Vietnam,Cu Bi,Cours d\'eau ,Cu BiCours d\eau (Vietnam)
3879,Vietnam,Cu Lam ,,Cu Lam (Vietnam)
3880,Vietnam,Cu Lao Cham,Île ,Cu Lao ChamÎle (Vietnam)
3881,Vietnam,Cu Mong/Qui Nhon,Voie ferrée ,Cu Mong/Qui NhonVoie ferrée (Vietnam)
3882,Vietnam,Cu Mong ,,Cu Mong (Vietnam)
3883,Libye,Cyrénaïque,Région géographique ,CyrénaïqueRégion géographique (Libye)
3884,,Czechoslovakia',,Czechoslovakia
3885,Vietnam,Cầu Bông,Cours d\'eau ,Cầu BôngCours d\eau (Vietnam)
3886,Côte d\'Ivoire,Dabakala ,,Dabakala (Côte d\Ivoire)
3887,Mali,Daba,Région géographique ,DabaRégion géographique (Mali)
3888,Côte d\'Ivoire,Daboisué ,,Daboisué (Côte d\Ivoire)
3889,Guinée,Dabola/Faranah,Route ,Dabola/FaranahRoute (Guinée)
3890,Guinée,Dabola/Guéckédou,Route ,Dabola/GuéckédouRoute (Guinée)
3891,Guinée,Dabola ,,Dabola (Guinée)
3892,Côte d\'Ivoire,Dabou/Ousrou,Voie ferrée ,Dabou/OusrouVoie ferrée (Côte d\Ivoire)
3893,Côte d\'Ivoire,Dabou,Cercle ,DabouCercle (Côte d\Ivoire)
3894,Côte d\'Ivoire,Dabou ,,Dabou (Côte d\Ivoire)
3895,Bangladesh,Dacca ,,Dacca (Bangladesh)
3896,Vietnam,Dac Lac,Province ,Dac LacProvince (Vietnam)
3897,Djibouti,Daddato ,,Daddato (Djibouti)
3898,Djibouti,Dadda\'to ,,Dadda\to (Djibouti)
3899,Mali,Dafina,Région géographique ,DafinaRégion géographique (Mali)
3900,Sénégal,Dagana,Cercle ,DaganaCercle (Sénégal)
3901,Tchad,Dagana,Région géographique ,DaganaRégion géographique (Tchad)
3902,Sénégal,Dagana ,,Dagana (Sénégal)
3903,Tchad,Dagana ,,Dagana (Tchad)
3904,Algérie,Daghbouche ,,Daghbouche (Algérie)
3905,Bas-Rhin ; France,Dahlenheim ,,Dahlenheim (Bas-Rhin ; France)
3906,Algérie,Dahmouni ,,Dahmouni (Algérie)
3907,,Dahomey',,Dahomey
3908,Algérie,Dahouara ,,Dahouara (Algérie)
3909,Algérie,Dahra ,,Dahra (Algérie)
3910,Algérie,Dahra,Massif du ,DahraMassif du (Algérie)
3911,Sénégal,Dahra ,,Dahra (Sénégal)
3912,Nam Dinh ; Vietnam,Dai An ,,Dai An (Nam Dinh ; Vietnam)
3913,Quang Nam ; Vietnam,Dai An ,,Dai An (Quang Nam ; Vietnam)
3914,Vietnam,Dai Lanh ,,Dai Lanh (Vietnam)
3915,Vietnam,Dai Loc ,,Dai Loc (Vietnam)
3916,Vietnam,Dai Trang ,,Dai Trang (Vietnam)
3917,Sant-Domingue Île de,Dajabon ,,Dajabon (Sant-Domingue Île de)
3918,Sénégal,Dakar-Thiès,Cercle ,Dakar-ThièsCercle (Sénégal)
3919,Sénégal,Dakar Bango ,,Dakar Bango (Sénégal)
3920,Sénégal/Mali,Dakar/Niger,Voie ferrée ,Dakar/NigerVoie ferrée (Sénégal/Mali)
3921,Sénégal,Dakar/Saint-Louis,Route ,Dakar/Saint-LouisRoute (Sénégal)
3922,Sénégal,Dakar/Saint-Louis,Voie ferrée ,Dakar/Saint-LouisVoie ferrée (Sénégal)
3923,Sénégal,Dakar ,,Dakar (Sénégal)
3924,Vietnam,Dak Lak,Province ,Dak LakProvince (Vietnam)
3925,Guinée,Dalaba ,,Dalaba (Guinée)
3926,Bas-Rhin ; France,Dalhunden ,,Dalhunden (Bas-Rhin ; France)
3927,"Saint-Domingue, Île de",Dalmarie ,,Dalmarie (Saint-DomingueÎle de)
3928,Algérie,Dalmatie ,,Dalmatie (Algérie)
3929,Côte d\'Ivoire,Daloa/Dimbokro,Voie ferrée ,Daloa/DimbokroVoie ferrée (Côte d\Ivoire)
3930,Côte d\'Ivoire,Daloa,Cercle ,DaloaCercle (Côte d\Ivoire)
3931,Côte d\'Ivoire,Daloa ,,Daloa (Côte d\Ivoire)
3932,Niger,Damagarim,Région géographique ,DamagarimRégion géographique (Niger)
3933,Niger,Damagguerrem,Région géographique ,DamagguerremRégion géographique (Niger)
3934,Niger,Damangara,Région géographique ,DamangaraRégion géographique (Niger)
3935,République centrafricaine,Damara,Subdivision ,DamaraSubdivision (République centrafricaine)
3936,Syrie,Damas ,,Damas (Syrie)
3937,Bas-Rhin ; France,Dambach-la-Ville ,,Dambach-la-Ville (Bas-Rhin ; France)
3938,Bas-Rhin ; France,Dambach ,,Dambach (Bas-Rhin ; France)
3939,République centrafricaine,Dambassa ,,Dambassa (République centrafricaine)
3940,Haute-Saône ; France,Dambenoît-lès-Colombe ,,Dambenoît-lès-Colombe (Haute-Saône ; France)
3941,Mali,Dambougou ,,Dambougou (Mali)
3942,"Saint-Domingue, Île de",Dame-Marie ,,Dame-Marie (Saint-DomingueÎle de)
3943,Algérie,Damesme ,,Damesme (Algérie)
3944,Sénégal,Damga,Région géographique ,DamgaRégion géographique (Sénégal)
3945,Algérie,Damiette ,,Damiette (Algérie)
3946,Orne ; France,Damigny ,,Damigny (Orne ; France)
3947,Meuse ; France,Damloup ,,Damloup (Meuse ; France)
3948,Algérie,Damous ,,Damous (Algérie)
3949,Algérie,Damous,Cours d\'eau ,DamousCours d\eau (Algérie)
3950,Sénégal,Dampa,Région géographique ,DampaRégion géographique (Sénégal)
3951,Marne ; France,Dampierre-au-Temple ,,Dampierre-au-Temple (Marne ; France)
3952,Seine-Maritime ; France,Dampierre-en-Bray ,,Dampierre-en-Bray (Seine-Maritime ; France)
3953,Saône-et-Loire ; France,Dampierre-en-Bresse ,,Dampierre-en-Bresse (Saône-et-Loire ; France)
3954,Loiret ; France,Dampierre-en-Burly ,,Dampierre-en-Burly (Loiret ; France)
3955,Cher ; France,Dampierre-en-Crot ,,Dampierre-en-Crot (Cher ; France)
3956,Cher ; France,Dampierre-en-Graçay ,,Dampierre-en-Graçay (Cher ; France)
3957,Côte-d\'Or ; France,Dampierre-en-Montagne ,,Dampierre-en-Montagne (Côte-d\Or ; France)
3958,Yvelines ; France,Dampierre-en-Yvelines ,,Dampierre-en-Yvelines (Yvelines ; France)
3959,Côte-d\'Or ; France,Dampierre-et-Flée ,,Dampierre-et-Flée (Côte-d\Or ; France)
3960,Marne ; France,Dampierre-le-Château ,,Dampierre-le-Château (Marne ; France)
3961,Doubs ; France,Dampierre-les-Bois ,,Dampierre-les-Bois (Doubs ; France)
3962,Haute-Saône ; France,Dampierre-lès-Conflans ,,Dampierre-lès-Conflans (Haute-Saône ; France)
3963,Seine-Maritime ; France,Dampierre-Saint-Nicolas ,,Dampierre-Saint-Nicolas (Seine-Maritime ; France)
3964,Nièvre ; France,Dampierre-sous-Bouhy ,,Dampierre-sous-Bouhy (Nièvre ; France)
3965,Eure-et-Loir ; France,Dampierre-sous-Brou ,,Dampierre-sous-Brou (Eure-et-Loir ; France)
3966,Marne ; France,Dampierre-sur-Auve ,,Dampierre-sur-Auve (Marne ; France)
3967,Eure-et-Loir ; France,Dampierre-sur-Avre ,,Dampierre-sur-Avre (Eure-et-Loir ; France)
3968,Eure-et-Loir ; France,Dampierre-sur-Blévy ,,Dampierre-sur-Blévy (Eure-et-Loir ; France)
3969,Charente-Maritime ; France,Dampierre-sur-Boutonne ,,Dampierre-sur-Boutonne (Charente-Maritime ; France)
3970,Doubs ; France,Dampierre-sur-le-Doubs ,,Dampierre-sur-le-Doubs (Doubs ; France)
3971,Haute-Saône ; France,Dampierre-sur-Linotte ,,Dampierre-sur-Linotte (Haute-Saône ; France)
3972,Maine-et-Loire ; France,Dampierre-sur-Loire ,,Dampierre-sur-Loire (Maine-et-Loire ; France)
3973,Marne ; France,Dampierre-sur-Moivre ,,Dampierre-sur-Moivre (Marne ; France)
3974,Haute-Saône ; France,Dampierre-sur-Salon ,,Dampierre-sur-Salon (Haute-Saône ; France)
